genotype	spliced_variant	total_TPM
A2	SP7	39.4037
B2	SP7	1.5067
C2	SP7	32.5956
D3	SP7	15.5845
B2	SP11	11.8632
C2	SP11	5.61062
D3	SP11	4.01303
A2	Novel	57.0472
D3	Novel	68.1513
A2	CCS	34.3573
B2	CCS	23.2681
C2	CCS	8.09695
D3	CCS	2.63816
A2	CCS	2.70639
B2	CCS	1.68298
C2	CCS	1.67218
D3	CCS	2.33704
A2	SP1	709.085
B2	SP1	611
C2	SP1	338.878
D3	SP1	662.638
A2	SP9	227.351
B2	SP9	234.833
C2	SP9	115.301
D3	SP9	34.9994
A2	SP13**	92.2638
B2	SP13**	41.0153
C2	SP13**	34.5716
D3	SP13**	195.439
A2	SP13	72.9895
B2	SP13	19.0319
C2	SP13	54.4802
D3	SP13	47.3871
A2	SP6	27.4146
B2	SP6	40.7028
C2	SP6	8.85518
D3	SP6	47.4892
B2	CCS	1.90303
C2	CCS	5.78398
D3	CCS	2.97602
B2	CCS	3.01437
B2	SP5	26.9434
C2	SP5	16.8507
B2	CCS	79.6986
C2	CCS	12.7991
D3	CCS	4.62553
B2	Novel	7.87638
D3	CCS	4.47211
