Gene	Aligned.sortedByCoord.out
ENSG00000000003.10	1905
ENSG00000000419.8	2214
ENSG00000000457.9	564
ENSG00000000460.12	738
ENSG00000000971.11	2893
ENSG00000000971.11--ENSG00000244414.2	53
ENSG00000001036.9	5751
ENSG00000001084.6	1373
ENSG00000001167.10	1173
ENSG00000001460.13	152
ENSG00000001461.12	300
ENSG00000001497.12	1334
ENSG00000001561.6	320
ENSG00000001617.7	358
ENSG00000001626.10	32
ENSG00000001629.5	1466
ENSG00000001630.11	901
ENSG00000001630.11--ENSG00000240720.3	19567
ENSG00000001630.11--ENSG00000240720.3--ENSG00000233588.1	30
ENSG00000001631.10	1611
ENSG00000001631.10--ENSG00000243107.1	79
ENSG00000002016.12	363
ENSG00000002016.12--ENSG00000250132.2	5
ENSG00000002079.8	6
ENSG00000002330.9	156
ENSG00000002549.8	4405
ENSG00000002586.13--ENSGR0000002586.13	1979
ENSG00000002587.5	4
ENSG00000002726.15	14
ENSG00000002746.10	210
ENSG00000002822.11	1343
ENSG00000002834.13	8476
ENSG00000002919.10	173
ENSG00000002933.3	17
ENSG00000003056.3	5123
ENSG00000003096.9	256
ENSG00000003096.9--ENSG00000239500.2	13
ENSG00000003137.4	568
ENSG00000003147.13	338
ENSG00000003249.9	309
ENSG00000003393.10	1965
ENSG00000003400.10	501
ENSG00000003402.15	1649
ENSG00000003402.15--ENSG00000234431.2	18
ENSG00000003436.10	6108
ENSG00000003509.11	346
ENSG00000003756.12	1846
ENSG00000003987.9	17
ENSG00000003989.12	14477
ENSG00000004059.6	2400
ENSG00000004059.6--ENSG00000106328.8	150
ENSG00000004139.9	50
ENSG00000004142.7	3428
ENSG00000004399.8	4303
ENSG00000004455.12	3753
ENSG00000004455.12--ENSG00000185839.2	266
ENSG00000004468.8	41
ENSG00000004478.5	5664
ENSG00000004487.11	6696
ENSG00000004534.10	2232
ENSG00000004534.10--ENSG00000003756.12	333
ENSG00000004660.10	11
ENSG00000004700.11	1857
ENSG00000004766.11	894
ENSG00000004776.7	2
ENSG00000004777.14	37
ENSG00000004779.5	1291
ENSG00000004799.7	90
ENSG00000004809.9	1
ENSG00000004838.9	36
ENSG00000004846.12	1
ENSG00000004848.6	1
ENSG00000004864.9	4369
ENSG00000004866.14	1092
ENSG00000004866.14--ENSG00000214188.5	3
ENSG00000004897.7	5460
ENSG00000004948.9	29
ENSG00000004961.10	423
ENSG00000004975.7	1433
ENSG00000005007.8	4536
ENSG00000005020.8	577
ENSG00000005022.5	6307
ENSG00000005059.11	44
ENSG00000005073.5	58
ENSG00000005075.11	1697
ENSG00000005075.11--ENSG00000168255.14	451
ENSG00000005075.11--ENSG00000168255.14--ENSG00000228049.5--ENSG00000267645.1	56
ENSG00000005075.11--ENSG00000228049.5--ENSG00000267645.1	428
ENSG00000005100.8	1151
ENSG00000005108.11	411
ENSG00000005156.7	4569
ENSG00000005175.5	2258
ENSG00000005187.7	143
ENSG00000005189.15	295
ENSG00000005194.10	1123
ENSG00000005194.10--ENSG00000263846.1	6
ENSG00000005206.12	547
ENSG00000005238.15	119
ENSG00000005243.5	13
ENSG00000005249.8	104
ENSG00000005302.13	115
ENSG00000005339.8	1847
ENSG00000005379.11	19
ENSG00000005421.4	552
ENSG00000005421.4--ENSG00000105852.6	3
ENSG00000005436.9	475
ENSG00000005448.12	23
ENSG00000005469.7	135
ENSG00000005471.11	588
ENSG00000005471.11--ENSG00000085563.10	1
ENSG00000005483.15	2426
ENSG00000005486.12	711
ENSG00000005513.9	9
ENSG00000005700.10	4795
ENSG00000005801.12	801
ENSG00000005810.13	1953
ENSG00000005812.6	1530
ENSG00000005844.13	401
ENSG00000005882.7	78
ENSG00000005884.13	70
ENSG00000005889.11	2521
ENSG00000005893.11	4338
ENSG00000005955.8	1678
ENSG00000005981.8	45
ENSG00000006007.7	894
ENSG00000006015.13	697
ENSG00000006016.6	2643
ENSG00000006025.7	34
ENSG00000006042.7	790
ENSG00000006047.8	13
ENSG00000006062.9	63
ENSG00000006114.11	1218
ENSG00000006118.10	3497
ENSG00000006125.12	6757
ENSG00000006125.12--ENSG00000234130.2	10
ENSG00000006194.6	847
ENSG00000006210.6	1200
ENSG00000006282.15	1036
ENSG00000006283.13	20
ENSG00000006327.9	897
ENSG00000006377.9	161
ENSG00000006432.11	458
ENSG00000006451.3	955
ENSG00000006453.9	2160
ENSG00000006459.6	1077
ENSG00000006468.9	892
ENSG00000006530.11	1619
ENSG00000006534.11	117
ENSG00000006555.6	161
ENSG00000006576.12	788
ENSG00000006606.4	5
ENSG00000006607.9	880
ENSG00000006611.11	562
ENSG00000006625.13	1263
ENSG00000006625.13--ENSG00000196295.7	1
ENSG00000006634.3	2448
ENSG00000006634.3--ENSG00000235489.3	74
ENSG00000006638.7	28
ENSG00000006652.9	2734
ENSG00000006659.8	1
ENSG00000006695.6	545
ENSG00000006695.6--ENSG00000223544.1	6
ENSG00000006704.6	458
ENSG00000006712.10	2570
ENSG00000006715.11	1634
ENSG00000006740.12	3
ENSG00000006744.14	2866
ENSG00000006747.10	29
ENSG00000006756.11	197
ENSG00000006757.7	163
ENSG00000006831.9	3260
ENSG00000006837.7	26
ENSG00000007001.8	1
ENSG00000007047.10	569
ENSG00000007062.7	1686
ENSG00000007080.6	744
ENSG00000007168.8	3016
ENSG00000007174.13	1
ENSG00000007202.10	7555
ENSG00000007216.10	3
ENSG00000007255.6	337
ENSG00000007314.7	2
ENSG00000007341.14	542
ENSG00000007372.16	166
ENSG00000007372.16--ENSG00000272286.1	1
ENSG00000007376.3	753
ENSG00000007384.11	385
ENSG00000007392.12	963
ENSG00000007402.7	4
ENSG00000007516.9	13
ENSG00000007520.3	656
ENSG00000007541.10	190
ENSG00000007545.11	312
ENSG00000007545.11--ENSG00000261732.1	350
ENSG00000007866.14	551
ENSG00000007908.11	1
ENSG00000007923.11	2643
ENSG00000007933.8	4
ENSG00000007944.10	258
ENSG00000007952.13	63
ENSG00000007968.6	585
