gene	A2_rep2
ENSG00000000003.10	685
ENSG00000000419.8	360
ENSG00000000457.9	282
ENSG00000000460.12	278
ENSG00000000938.8	1
ENSG00000000971.11	439
ENSG00000000971.11--ENSG00000244414.2	7
ENSG00000001036.9	2307
ENSG00000001084.6	618
ENSG00000001084.6--ENSG00000231683.2	1
ENSG00000001167.10	445
ENSG00000001460.13	40
ENSG00000001461.12	175
ENSG00000001497.12	748
ENSG00000001561.6	90
ENSG00000001617.7	179
ENSG00000001626.10	23
ENSG00000001629.5	677
ENSG00000001630.11	1198
ENSG00000001630.11--ENSG00000240720.3	7497
ENSG00000001630.11--ENSG00000240720.3--ENSG00000233588.1	37
ENSG00000001631.10	501
ENSG00000001631.10--ENSG00000243107.1	12
ENSG00000002016.12	167
ENSG00000002016.12--ENSG00000250132.2	4
ENSG00000002079.8	1
ENSG00000002330.9	108
ENSG00000002549.8	1709
ENSG00000002586.13--ENSGR0000002586.13	540
ENSG00000002587.5	2
ENSG00000002726.15	9
ENSG00000002746.10	118
ENSG00000002822.11	827
ENSG00000002834.13	4520
ENSG00000002919.10	127
ENSG00000002933.3	5
ENSG00000003056.3	1872
ENSG00000003096.9	110
ENSG00000003096.9--ENSG00000239500.2	13
ENSG00000003137.4	334
ENSG00000003147.13	148
ENSG00000003249.9	137
ENSG00000003393.10	1002
ENSG00000003400.10	319
ENSG00000003402.15	882
ENSG00000003402.15--ENSG00000234431.2	6
ENSG00000003436.10	1812
ENSG00000003509.11	99
ENSG00000003756.12	956
ENSG00000003987.9	5
ENSG00000003989.12	7031
ENSG00000004059.6	821
ENSG00000004059.6--ENSG00000106328.8	77
ENSG00000004139.9	28
ENSG00000004142.7	1494
ENSG00000004399.8	3003
ENSG00000004455.12	1097
ENSG00000004455.12--ENSG00000185839.2	142
ENSG00000004455.12--ENSG00000185839.2--ENSG00000242272.1	1
ENSG00000004468.8	6
ENSG00000004478.5	2460
ENSG00000004487.11	2581
ENSG00000004534.10	905
ENSG00000004534.10--ENSG00000003756.12	132
ENSG00000004660.10	11
ENSG00000004700.11	835
ENSG00000004766.11	332
ENSG00000004776.7	1
ENSG00000004777.14	34
ENSG00000004779.5	516
ENSG00000004799.7	23
ENSG00000004838.9	23
ENSG00000004864.9	1801
ENSG00000004866.14	363
ENSG00000004897.7	1352
ENSG00000004948.9	6
ENSG00000004961.10	144
ENSG00000004975.7	922
ENSG00000005001.5	6
ENSG00000005007.8	2872
ENSG00000005020.8	229
ENSG00000005022.5	2630
ENSG00000005059.11	9
ENSG00000005073.5	16
ENSG00000005075.11	270
ENSG00000005075.11--ENSG00000168255.14	19
ENSG00000005075.11--ENSG00000168255.14--ENSG00000228049.5--ENSG00000267645.1	6
ENSG00000005075.11--ENSG00000228049.5--ENSG00000267645.1	28
ENSG00000005100.8	574
ENSG00000005108.11	228
ENSG00000005156.7	2261
ENSG00000005175.5	644
ENSG00000005187.7	55
ENSG00000005189.15	112
ENSG00000005194.10	616
ENSG00000005194.10--ENSG00000263846.1	2
ENSG00000005206.12	429
ENSG00000005238.15	76
ENSG00000005243.5	13
ENSG00000005249.8	62
ENSG00000005302.13	37
ENSG00000005339.8	1054
ENSG00000005379.11	9
ENSG00000005421.4	189
ENSG00000005421.4--ENSG00000105852.6	3
ENSG00000005436.9	171
ENSG00000005448.12	5
ENSG00000005469.7	57
ENSG00000005471.11	242
ENSG00000005471.11--ENSG00000085563.10	2
ENSG00000005483.15	878
ENSG00000005486.12	303
ENSG00000005513.9	13
ENSG00000005700.10	2533
ENSG00000005801.12	265
ENSG00000005810.13	1135
ENSG00000005812.6	525
ENSG00000005844.13	191
ENSG00000005882.7	17
ENSG00000005884.13	122
ENSG00000005889.11	1247
ENSG00000005893.11	1775
ENSG00000005955.8	710
ENSG00000005961.13	2
ENSG00000005981.8	42
ENSG00000006007.7	362
ENSG00000006015.13	459
ENSG00000006016.6	1112
ENSG00000006025.7	31
ENSG00000006042.7	295
ENSG00000006047.8	8
ENSG00000006062.9	46
ENSG00000006114.11	493
ENSG00000006118.10	2975
ENSG00000006125.12	3185
ENSG00000006125.12--ENSG00000234130.2	12
ENSG00000006194.6	460
ENSG00000006210.6	652
ENSG00000006282.15	953
ENSG00000006283.13	19
ENSG00000006327.9	672
ENSG00000006377.9	37
ENSG00000006432.11	469
ENSG00000006451.3	372
ENSG00000006453.9	1087
ENSG00000006459.6	517
ENSG00000006468.9	172
ENSG00000006530.11	459
ENSG00000006530.11--ENSG00000228819.1	1
ENSG00000006534.11	137
ENSG00000006555.6	109
ENSG00000006576.12	292
ENSG00000006606.4	3
ENSG00000006607.9	467
ENSG00000006611.11	458
ENSG00000006625.13	360
ENSG00000006634.3	508
ENSG00000006634.3--ENSG00000235489.3	24
ENSG00000006638.7	18
ENSG00000006652.9	1054
ENSG00000006659.8	1
ENSG00000006695.6	225
ENSG00000006695.6--ENSG00000223544.1	2
ENSG00000006704.6	249
ENSG00000006712.10	996
ENSG00000006715.11	1057
ENSG00000006740.12	2
ENSG00000006744.14	1389
ENSG00000006747.10	35
ENSG00000006756.11	86
ENSG00000006757.7	38
ENSG00000006831.9	1493
ENSG00000006837.7	3
ENSG00000007047.10	327
ENSG00000007062.7	1385
ENSG00000007080.6	216
ENSG00000007168.8	1373
ENSG00000007168.8--ENSG00000239884.2	2
ENSG00000007202.10	4583
ENSG00000007255.6	208
ENSG00000007341.14	147
ENSG00000007372.16	26
ENSG00000007376.3	465
ENSG00000007384.11	329
ENSG00000007392.12	457
ENSG00000007516.9	11
ENSG00000007520.3	387
ENSG00000007541.10	242
ENSG00000007545.11	252
ENSG00000007545.11--ENSG00000261732.1	268
ENSG00000007866.14	327
ENSG00000007908.11	1
ENSG00000007923.11	1219
ENSG00000007933.8	3
ENSG00000007944.10	71
ENSG00000007952.13	77
ENSG00000007968.6	342
ENSG00000008018.8	1947
ENSG00000008083.9	439
ENSG00000008086.6	64
ENSG00000008128.18	67
ENSG00000008128.18--ENSG00000268575.1	86
ENSG00000008130.11	966
ENSG00000008226.15	3
ENSG00000008256.11	107
ENSG00000008277.10	73
ENSG00000008282.3	229
ENSG00000008283.11	14
ENSG00000008294.16	2710
ENSG00000008300.10	117
ENSG00000008311.10	324
ENSG00000008323.11	374
ENSG00000008324.6	170
ENSG00000008382.11	117
ENSG00000008394.8	941
ENSG00000008405.7	672
ENSG00000008441.12	92
ENSG00000008513.10	242
ENSG00000008516.12	2
ENSG00000008517.12	721
ENSG00000008710.13	1155
ENSG00000008710.13--ENSG00000183458.9	6
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5--ENSG00000233024.3--ENSG00000254681.2	1
