gene	B2_rep2
ENSG00000000003.10	872
ENSG00000000419.8	486
ENSG00000000457.9	261
ENSG00000000460.12	296
ENSG00000000971.11	489
ENSG00000000971.11--ENSG00000244414.2	12
ENSG00000001036.9	2852
ENSG00000001084.6	769
ENSG00000001167.10	547
ENSG00000001460.13	50
ENSG00000001461.12	196
ENSG00000001497.12	648
ENSG00000001561.6	103
ENSG00000001617.7	179
ENSG00000001626.10	27
ENSG00000001629.5	770
ENSG00000001630.11	1202
ENSG00000001630.11--ENSG00000240720.3	9229
ENSG00000001630.11--ENSG00000240720.3--ENSG00000233588.1	31
ENSG00000001631.10	660
ENSG00000001631.10--ENSG00000243107.1	17
ENSG00000002016.12	193
ENSG00000002016.12--ENSG00000250132.2	1
ENSG00000002079.8	4
ENSG00000002330.9	119
ENSG00000002549.8	1805
ENSG00000002586.13--ENSGR0000002586.13	584
ENSG00000002587.5	4
ENSG00000002726.15	4
ENSG00000002746.10	131
ENSG00000002822.11	844
ENSG00000002834.13	4951
ENSG00000002919.10	168
ENSG00000002933.3	5
ENSG00000003056.3	2276
ENSG00000003096.9	167
ENSG00000003096.9--ENSG00000239500.2	10
ENSG00000003137.4	354
ENSG00000003147.13	174
ENSG00000003249.9	141
ENSG00000003393.10	1108
ENSG00000003400.10	301
ENSG00000003402.15	891
ENSG00000003402.15--ENSG00000234431.2	9
ENSG00000003436.10	2188
ENSG00000003509.11	102
ENSG00000003756.12	1075
ENSG00000003987.9	2
ENSG00000003989.12	8017
ENSG00000004059.6	917
ENSG00000004059.6--ENSG00000106328.8	103
ENSG00000004139.9	55
ENSG00000004142.7	1618
ENSG00000004399.8	2777
ENSG00000004455.12	1256
ENSG00000004455.12--ENSG00000185839.2	152
ENSG00000004468.8	7
ENSG00000004478.5	2686
ENSG00000004487.11	2814
ENSG00000004534.10	947
ENSG00000004534.10--ENSG00000003756.12	122
ENSG00000004660.10	9
ENSG00000004700.11	1009
ENSG00000004766.11	382
ENSG00000004777.14	40
ENSG00000004779.5	721
ENSG00000004799.7	33
ENSG00000004809.9	1
ENSG00000004838.9	17
ENSG00000004864.9	2269
ENSG00000004866.14	470
ENSG00000004866.14--ENSG00000214188.5	3
ENSG00000004897.7	1601
ENSG00000004939.9	1
ENSG00000004948.9	13
ENSG00000004961.10	178
ENSG00000004975.7	1042
ENSG00000005001.5	10
ENSG00000005007.8	3018
ENSG00000005020.8	317
ENSG00000005022.5	3332
ENSG00000005059.11	16
ENSG00000005073.5	30
ENSG00000005075.11	341
ENSG00000005075.11--ENSG00000168255.14	17
ENSG00000005075.11--ENSG00000168255.14--ENSG00000228049.5--ENSG00000267645.1	12
ENSG00000005075.11--ENSG00000228049.5--ENSG00000267645.1	32
ENSG00000005100.8	597
ENSG00000005108.11	298
ENSG00000005156.7	2261
ENSG00000005175.5	727
ENSG00000005187.7	65
ENSG00000005189.15	108
ENSG00000005194.10	662
ENSG00000005194.10--ENSG00000263846.1	1
ENSG00000005206.12	399
ENSG00000005238.15	105
ENSG00000005243.5	10
ENSG00000005249.8	74
ENSG00000005302.13	52
ENSG00000005339.8	1040
ENSG00000005379.11	7
ENSG00000005421.4	259
ENSG00000005421.4--ENSG00000105852.6	5
ENSG00000005436.9	177
ENSG00000005448.12	6
ENSG00000005469.7	67
ENSG00000005471.11	231
ENSG00000005471.11--ENSG00000085563.10	1
ENSG00000005483.15	1065
ENSG00000005486.12	349
ENSG00000005513.9	14
ENSG00000005700.10	3260
ENSG00000005801.12	295
ENSG00000005810.13	1324
ENSG00000005812.6	604
ENSG00000005844.13	169
ENSG00000005882.7	19
ENSG00000005884.13	89
ENSG00000005889.11	1444
ENSG00000005893.11	2359
ENSG00000005955.8	805
ENSG00000005961.13	1
ENSG00000005981.8	43
ENSG00000006007.7	430
ENSG00000006015.13	471
ENSG00000006016.6	1146
ENSG00000006025.7	29
ENSG00000006042.7	366
ENSG00000006047.8	5
ENSG00000006062.9	55
ENSG00000006071.7	1
ENSG00000006074.4	1
ENSG00000006114.11	586
ENSG00000006118.10	2954
ENSG00000006125.12	4101
ENSG00000006125.12--ENSG00000234130.2	8
ENSG00000006194.6	530
ENSG00000006210.6	582
ENSG00000006282.15	974
ENSG00000006283.13	13
ENSG00000006327.9	802
ENSG00000006377.9	59
ENSG00000006432.11	483
ENSG00000006451.3	436
ENSG00000006453.9	1263
ENSG00000006459.6	566
ENSG00000006468.9	229
ENSG00000006530.11	526
ENSG00000006534.11	151
ENSG00000006555.6	119
ENSG00000006576.12	360
ENSG00000006606.4	1
ENSG00000006607.9	501
ENSG00000006611.11	493
ENSG00000006625.13	427
ENSG00000006625.13--ENSG00000196295.7	2
ENSG00000006634.3	618
ENSG00000006634.3--ENSG00000235489.3	21
ENSG00000006638.7	31
ENSG00000006652.9	1414
ENSG00000006695.6	295
ENSG00000006695.6--ENSG00000223544.1	6
ENSG00000006704.6	257
ENSG00000006712.10	983
ENSG00000006715.11	1235
ENSG00000006740.12	2
ENSG00000006744.14	1499
ENSG00000006747.10	30
ENSG00000006756.11	138
ENSG00000006757.7	54
ENSG00000006831.9	1893
ENSG00000006837.7	7
ENSG00000007001.8	1
ENSG00000007047.10	370
ENSG00000007062.7	1716
ENSG00000007080.6	251
ENSG00000007168.8	1542
ENSG00000007202.10	4624
ENSG00000007216.10	1
ENSG00000007255.6	231
ENSG00000007314.7	2
ENSG00000007341.14	204
ENSG00000007372.16	48
ENSG00000007376.3	437
ENSG00000007384.11	336
ENSG00000007392.12	475
ENSG00000007516.9	8
ENSG00000007520.3	386
ENSG00000007541.10	242
ENSG00000007545.11	259
ENSG00000007545.11--ENSG00000261732.1	274
ENSG00000007866.14	365
ENSG00000007923.11	1300
ENSG00000007933.8	7
ENSG00000007944.10	95
ENSG00000007952.13	91
ENSG00000007968.6	372
ENSG00000008018.8	2550
ENSG00000008083.9	502
ENSG00000008086.6	74
ENSG00000008128.18	92
ENSG00000008128.18--ENSG00000268575.1	89
ENSG00000008130.11	1079
ENSG00000008226.15	5
ENSG00000008256.11	103
ENSG00000008277.10	85
ENSG00000008282.3	314
ENSG00000008283.11	12
ENSG00000008294.16	2983
ENSG00000008300.10	102
ENSG00000008311.10	346
ENSG00000008323.11	320
ENSG00000008324.6	231
ENSG00000008382.11	120
ENSG00000008394.8	1275
ENSG00000008405.7	829
ENSG00000008441.12	83
ENSG00000008513.10	252
ENSG00000008517.12	863
ENSG00000008710.13	1121
ENSG00000008710.13--ENSG00000183458.9	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5--ENSG00000233024.3--ENSG00000254681.2	3
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000214940.4--ENSG00000205746.5--ENSG00000233024.3--ENSG00000254681.2	1
