gene	C2_rep1
ENSG00000000003.10	2115
ENSG00000000419.8	2249
ENSG00000000457.9	624
ENSG00000000460.12	772
ENSG00000000971.11	2989
ENSG00000000971.11--ENSG00000244414.2	41
ENSG00000001036.9	6203
ENSG00000001084.6	1448
ENSG00000001167.10	1149
ENSG00000001460.13	151
ENSG00000001461.12	289
ENSG00000001497.12	1526
ENSG00000001561.6	355
ENSG00000001617.7	374
ENSG00000001626.10	29
ENSG00000001629.5	1473
ENSG00000001630.11	1039
ENSG00000001630.11--ENSG00000240720.3	20504
ENSG00000001630.11--ENSG00000240720.3--ENSG00000233588.1	19
ENSG00000001631.10	1747
ENSG00000001631.10--ENSG00000243107.1	78
ENSG00000002016.12	386
ENSG00000002016.12--ENSG00000250132.2	3
ENSG00000002079.8	1
ENSG00000002330.9	215
ENSG00000002549.8	4837
ENSG00000002586.13--ENSGR0000002586.13	1949
ENSG00000002587.5	4
ENSG00000002726.15	14
ENSG00000002746.10	240
ENSG00000002822.11	1413
ENSG00000002834.13	9198
ENSG00000002919.10	176
ENSG00000002933.3	23
ENSG00000003056.3	5496
ENSG00000003096.9	270
ENSG00000003096.9--ENSG00000239500.2	18
ENSG00000003137.4	629
ENSG00000003147.13	300
ENSG00000003249.9	305
ENSG00000003393.10	2252
ENSG00000003400.10	557
ENSG00000003402.15	1745
ENSG00000003402.15--ENSG00000234431.2	12
ENSG00000003436.10	6398
ENSG00000003509.11	328
ENSG00000003756.12	1963
ENSG00000003987.9	11
ENSG00000003989.12	15105
ENSG00000004059.6	2502
ENSG00000004059.6--ENSG00000106328.8	140
ENSG00000004139.9	46
ENSG00000004142.7	3318
ENSG00000004399.8	4151
ENSG00000004455.12	3944
ENSG00000004455.12--ENSG00000185839.2	269
ENSG00000004468.8	45
ENSG00000004478.5	6164
ENSG00000004487.11	7167
ENSG00000004534.10	2483
ENSG00000004534.10--ENSG00000003756.12	412
ENSG00000004660.10	19
ENSG00000004700.11	2106
ENSG00000004766.11	967
ENSG00000004776.7	1
ENSG00000004777.14	63
ENSG00000004779.5	1439
ENSG00000004799.7	128
ENSG00000004809.9	1
