Gene	Aligned.sortedByCoord.out
ENSG00000000003.10	1350
ENSG00000000419.8	662
ENSG00000000457.9	268
ENSG00000000460.12	373
ENSG00000000971.11	569
ENSG00000000971.11--ENSG00000244414.2	16
ENSG00000001036.9	3397
ENSG00000001084.6	836
ENSG00000001167.10	438
ENSG00000001460.13	64
ENSG00000001461.12	172
ENSG00000001497.12	579
ENSG00000001561.6	131
ENSG00000001617.7	136
ENSG00000001626.10	21
ENSG00000001629.5	721
ENSG00000001630.11	918
ENSG00000001630.11--ENSG00000240720.3	10376
ENSG00000001630.11--ENSG00000240720.3--ENSG00000233588.1	12
ENSG00000001631.10	612
ENSG00000001631.10--ENSG00000243107.1	24
ENSG00000002016.12	175
ENSG00000002016.12--ENSG00000250132.2	2
ENSG00000002330.9	106
ENSG00000002549.8	1944
ENSG00000002586.13--ENSGR0000002586.13	634
ENSG00000002587.5	2
ENSG00000002726.15	5
ENSG00000002746.10	110
ENSG00000002822.11	568
ENSG00000002834.13	3215
ENSG00000002919.10	142
ENSG00000002933.3	2
ENSG00000003056.3	2419
ENSG00000003096.9	153
ENSG00000003096.9--ENSG00000239500.2	11
ENSG00000003137.4	217
ENSG00000003147.13	171
ENSG00000003249.9	152
ENSG00000003393.10	1060
ENSG00000003400.10	276
ENSG00000003402.15	731
ENSG00000003402.15--ENSG00000234431.2	10
ENSG00000003436.10	2787
ENSG00000003509.11	128
ENSG00000003756.12	918
ENSG00000003987.9	4
ENSG00000003989.12	7391
ENSG00000004059.6	812
ENSG00000004059.6--ENSG00000106328.8	110
ENSG00000004139.9	26
ENSG00000004142.7	1520
ENSG00000004399.8	1775
ENSG00000004455.12	1322
ENSG00000004455.12--ENSG00000185839.2	111
ENSG00000004468.8	12
ENSG00000004478.5	2474
ENSG00000004487.11	2665
ENSG00000004534.10	841
ENSG00000004534.10--ENSG00000003756.12	100
ENSG00000004660.10	10
ENSG00000004700.11	998
ENSG00000004766.11	421
ENSG00000004777.14	32
ENSG00000004779.5	886
ENSG00000004799.7	31
ENSG00000004838.9	10
ENSG00000004864.9	2284
ENSG00000004866.14	501
ENSG00000004897.7	1854
ENSG00000004948.9	7
ENSG00000004961.10	188
ENSG00000004975.7	825
ENSG00000005001.5	2
ENSG00000005007.8	2160
ENSG00000005020.8	348
ENSG00000005022.5	3908
ENSG00000005059.11	22
ENSG00000005073.5	21
ENSG00000005075.11	498
ENSG00000005075.11--ENSG00000168255.14	80
ENSG00000005075.11--ENSG00000168255.14--ENSG00000228049.5--ENSG00000267645.1	20
ENSG00000005075.11--ENSG00000228049.5--ENSG00000267645.1	79
ENSG00000005100.8	524
ENSG00000005108.11	261
ENSG00000005156.7	1826
ENSG00000005175.5	780
ENSG00000005187.7	57
ENSG00000005189.15	105
ENSG00000005194.10	740
ENSG00000005194.10--ENSG00000263846.1	1
ENSG00000005206.12	283
ENSG00000005238.15	93
ENSG00000005243.5	6
ENSG00000005249.8	103
ENSG00000005302.13	61
ENSG00000005339.8	702
ENSG00000005379.11	6
ENSG00000005421.4	391
ENSG00000005421.4--ENSG00000105852.6	4
ENSG00000005436.9	179
ENSG00000005448.12	9
ENSG00000005469.7	76
ENSG00000005471.11	226
ENSG00000005471.11--ENSG00000085563.10	1
ENSG00000005483.15	882
ENSG00000005486.12	291
ENSG00000005513.9	6
ENSG00000005700.10	3104
ENSG00000005801.12	318
ENSG00000005810.13	1056
ENSG00000005812.6	654
ENSG00000005844.13	141
ENSG00000005882.7	17
ENSG00000005884.13	67
ENSG00000005889.11	1381
ENSG00000005893.11	2701
ENSG00000005955.8	838
ENSG00000005981.8	42
ENSG00000006007.7	444
ENSG00000006015.13	349
ENSG00000006016.6	1017
ENSG00000006025.7	16
ENSG00000006042.7	380
ENSG00000006047.8	3
ENSG00000006062.9	36
ENSG00000006114.11	435
ENSG00000006118.10	2067
ENSG00000006125.12	3389
ENSG00000006125.12--ENSG00000234130.2	10
ENSG00000006194.6	410
ENSG00000006210.6	526
ENSG00000006282.15	782
ENSG00000006283.13	7
ENSG00000006327.9	806
ENSG00000006377.9	58
ENSG00000006432.11	363
ENSG00000006451.3	424
ENSG00000006451.3--ENSG00000257564.1	1
ENSG00000006453.9	1024
ENSG00000006459.6	504
ENSG00000006468.9	244
ENSG00000006530.11	645
ENSG00000006534.11	119
ENSG00000006555.6	89
ENSG00000006576.12	372
ENSG00000006606.4	3
ENSG00000006607.9	468
ENSG00000006611.11	413
ENSG00000006625.13	504
ENSG00000006625.13--ENSG00000196295.7	2
ENSG00000006634.3	746
ENSG00000006634.3--ENSG00000235489.3	26
ENSG00000006638.7	20
ENSG00000006652.9	1368
ENSG00000006695.6	261
ENSG00000006695.6--ENSG00000223544.1	4
ENSG00000006704.6	195
ENSG00000006712.10	796
ENSG00000006715.11	998
ENSG00000006740.12	5
ENSG00000006744.14	1262
ENSG00000006747.10	30
ENSG00000006756.11	98
ENSG00000006757.7	61
ENSG00000006831.9	1815
ENSG00000006837.7	9
ENSG00000007047.10	220
ENSG00000007062.7	1588
ENSG00000007080.6	227
ENSG00000007168.8	1573
ENSG00000007202.10	3578
ENSG00000007255.6	238
ENSG00000007341.14	211
ENSG00000007372.16	43
ENSG00000007376.3	338
ENSG00000007384.11	271
ENSG00000007392.12	436
ENSG00000007402.7	1
ENSG00000007516.9	6
ENSG00000007520.3	291
ENSG00000007541.10	155
ENSG00000007541.10--ENSG00000257108.1	1
ENSG00000007545.11	169
ENSG00000007545.11--ENSG00000261732.1	194
ENSG00000007866.14	260
ENSG00000007908.11	1
ENSG00000007923.11	918
ENSG00000007933.8	4
ENSG00000007944.10	127
ENSG00000007952.13	82
ENSG00000007968.6	290
ENSG00000008018.8	3417
ENSG00000008083.9	349
ENSG00000008086.6	66
ENSG00000008128.18	78
ENSG00000008128.18--ENSG00000268575.1	58
ENSG00000008130.11	859
ENSG00000008196.8	1
ENSG00000008256.11	86
ENSG00000008277.10	61
ENSG00000008282.3	435
ENSG00000008283.11	12
ENSG00000008294.16	2730
ENSG00000008300.10	62
ENSG00000008311.10	290
ENSG00000008323.11	260
ENSG00000008324.6	335
ENSG00000008382.11	81
ENSG00000008394.8	2068
ENSG00000008405.7	754
ENSG00000008441.12	61
ENSG00000008513.10	184
ENSG00000008517.12	758
ENSG00000008710.13	619
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5--ENSG00000233024.3--ENSG00000254681.2	2
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000214940.4--ENSG00000205746.5--ENSG00000233024.3--ENSG00000254681.2	3
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5	11
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5--ENSG00000233024.3--ENSG00000254681.2	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5--ENSG00000254681.2	2
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000183889.8--ENSG00000205746.5	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000183889.8--ENSG00000205746.5--ENSG00000254681.2	4
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000205746.5--ENSG00000254681.2	4
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000254681.2	2
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000205746.5--ENSG00000254681.2	2
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000227827.3--ENSG00000205746.5--ENSG00000254681.2	20
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000254681.2	7
ENSG00000008710.13--ENSG00000183458.9--ENSG00000250251.2	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000250251.2--ENSG00000244257.4--ENSG00000205746.5--ENSG00000254681.2	7
