gene	D3_rep1
ENSG00000000003.10	2771
ENSG00000000005.5	1
ENSG00000000419.8	1492
ENSG00000000457.9	604
ENSG00000000460.12	882
ENSG00000000938.8	1
ENSG00000000971.11	2834
ENSG00000000971.11--ENSG00000244414.2	67
ENSG00000001036.9	6353
ENSG00000001084.6	1366
ENSG00000001167.10	1110
ENSG00000001460.13	124
ENSG00000001461.12	397
ENSG00000001497.12	1818
ENSG00000001561.6	290
ENSG00000001617.7	468
ENSG00000001626.10	31
ENSG00000001629.5	1622
ENSG00000001630.11	1556
ENSG00000001630.11--ENSG00000240720.3	17711
ENSG00000001630.11--ENSG00000240720.3--ENSG00000233588.1	45
ENSG00000001631.10	1498
ENSG00000001631.10--ENSG00000243107.1	49
ENSG00000002016.12	360
ENSG00000002016.12--ENSG00000250132.2	3
ENSG00000002079.8	2
ENSG00000002330.9	204
ENSG00000002549.8	4249
ENSG00000002586.13--ENSGR0000002586.13	1400
ENSG00000002587.5	3
ENSG00000002726.15	15
ENSG00000002746.10	232
ENSG00000002822.11	1260
ENSG00000002834.13	6731
ENSG00000002919.10	307
ENSG00000002933.3	21
ENSG00000003056.3	4662
ENSG00000003096.9	298
ENSG00000003096.9--ENSG00000239500.2	13
ENSG00000003137.4	667
ENSG00000003147.13	257
ENSG00000003249.9	311
ENSG00000003393.10	2179
ENSG00000003400.10	605
ENSG00000003402.15	1757
ENSG00000003402.15--ENSG00000234431.2	29
ENSG00000003436.10	5962
ENSG00000003509.11	283
ENSG00000003756.12	2043
ENSG00000003987.9	26
ENSG00000003989.12	19108
ENSG00000004059.6	1924
ENSG00000004059.6--ENSG00000106328.8	284
ENSG00000004139.9	50
ENSG00000004142.7	3504
ENSG00000004399.8	3871
ENSG00000004455.12	3217
ENSG00000004455.12--ENSG00000185839.2	300
ENSG00000004468.8	41
ENSG00000004478.5	6953
ENSG00000004487.11	6660
ENSG00000004534.10	1946
ENSG00000004534.10--ENSG00000003756.12	278
ENSG00000004660.10	20
ENSG00000004700.11	1866
ENSG00000004766.11	890
ENSG00000004776.7	5
ENSG00000004777.14	70
ENSG00000004779.5	1838
ENSG00000004799.7	73
ENSG00000004809.9	1
ENSG00000004838.9	38
ENSG00000004846.12	2
ENSG00000004864.9	4627
ENSG00000004866.14	977
ENSG00000004866.14--ENSG00000214188.5	2
ENSG00000004897.7	4442
ENSG00000004948.9	19
ENSG00000004961.10	426
ENSG00000004975.7	1812
ENSG00000005001.5	1
ENSG00000005007.8	5493
ENSG00000005020.8	514
ENSG00000005022.5	9036
ENSG00000005059.11	49
ENSG00000005073.5	46
ENSG00000005075.11	1125
ENSG00000005075.11--ENSG00000168255.14	163
ENSG00000005075.11--ENSG00000168255.14--ENSG00000228049.5--ENSG00000267645.1	34
ENSG00000005075.11--ENSG00000228049.5--ENSG00000267645.1	157
ENSG00000005100.8	1253
ENSG00000005108.11	389
ENSG00000005156.7	4660
ENSG00000005175.5	1847
ENSG00000005187.7	162
ENSG00000005189.15	289
ENSG00000005194.10	1612
ENSG00000005194.10--ENSG00000263846.1	3
ENSG00000005206.12	653
ENSG00000005238.15	101
ENSG00000005243.5	11
ENSG00000005249.8	75
ENSG00000005302.13	116
ENSG00000005339.8	1781
ENSG00000005379.11	14
ENSG00000005421.4	807
ENSG00000005421.4--ENSG00000105852.6	2
ENSG00000005436.9	467
ENSG00000005448.12	35
ENSG00000005469.7	148
ENSG00000005471.11	638
ENSG00000005471.11--ENSG00000085563.10	5
ENSG00000005483.15	1984
ENSG00000005486.12	690
ENSG00000005513.9	9
ENSG00000005700.10	5206
ENSG00000005801.12	658
ENSG00000005810.13	2480
ENSG00000005812.6	1457
ENSG00000005844.13	507
ENSG00000005882.7	80
ENSG00000005884.13	85
ENSG00000005889.11	2519
ENSG00000005893.11	5128
ENSG00000005955.8	1862
ENSG00000005961.13	1
ENSG00000005981.8	53
ENSG00000006007.7	889
ENSG00000006015.13	734
ENSG00000006016.6	3276
ENSG00000006025.7	54
ENSG00000006042.7	894
ENSG00000006047.8	11
ENSG00000006062.9	74
ENSG00000006071.7	1
ENSG00000006114.11	1067
ENSG00000006118.10	4770
ENSG00000006125.12	6887
ENSG00000006125.12--ENSG00000234130.2	17
ENSG00000006194.6	905
ENSG00000006210.6	1294
ENSG00000006282.15	1124
ENSG00000006283.13	15
ENSG00000006327.9	963
ENSG00000006377.9	190
ENSG00000006432.11	634
ENSG00000006451.3	1043
ENSG00000006451.3--ENSG00000257564.1	1
ENSG00000006453.9	2067
ENSG00000006459.6	1295
ENSG00000006468.9	826
ENSG00000006530.11	1384
ENSG00000006534.11	162
ENSG00000006555.6	144
ENSG00000006576.12	753
ENSG00000006606.4	2
ENSG00000006607.9	1190
ENSG00000006611.11	649
ENSG00000006625.13	1229
ENSG00000006625.13--ENSG00000196295.7	2
ENSG00000006634.3	1690
ENSG00000006634.3--ENSG00000235489.3	69
ENSG00000006638.7	52
ENSG00000006652.9	2359
ENSG00000006659.8	1
ENSG00000006695.6	482
ENSG00000006695.6--ENSG00000223544.1	7
ENSG00000006704.6	475
ENSG00000006712.10	2025
ENSG00000006715.11	1817
ENSG00000006740.12	5
ENSG00000006744.14	3107
ENSG00000006747.10	19
ENSG00000006756.11	237
ENSG00000006757.7	116
ENSG00000006831.9	3967
ENSG00000006837.7	10
ENSG00000007047.10	581
ENSG00000007062.7	1478
ENSG00000007080.6	705
ENSG00000007168.8	3371
ENSG00000007174.13	1
ENSG00000007202.10	9537
ENSG00000007216.10	2
ENSG00000007255.6	428
ENSG00000007314.7	3
ENSG00000007341.14	396
ENSG00000007372.16	132
ENSG00000007372.16--ENSG00000272286.1	1
ENSG00000007376.3	828
ENSG00000007384.11	432
ENSG00000007392.12	979
ENSG00000007402.7	2
ENSG00000007516.9	12
ENSG00000007520.3	760
ENSG00000007541.10	315
ENSG00000007545.11	377
ENSG00000007545.11--ENSG00000261732.1	414
ENSG00000007866.14	678
ENSG00000007908.11	1
ENSG00000007923.11	2491
ENSG00000007933.8	4
ENSG00000007944.10	235
ENSG00000007952.13	56
ENSG00000007968.6	705
ENSG00000008018.8	7091
ENSG00000008083.9	945
ENSG00000008086.6	100
ENSG00000008128.18	189
ENSG00000008128.18--ENSG00000268575.1	194
ENSG00000008130.11	1983
ENSG00000008196.8	2
ENSG00000008226.15	2
ENSG00000008256.11	232
ENSG00000008277.10	139
ENSG00000008282.3	959
ENSG00000008283.11	15
ENSG00000008294.16	4349
ENSG00000008300.10	147
ENSG00000008311.10	680
ENSG00000008323.11	529
ENSG00000008324.6	736
ENSG00000008382.11	176
ENSG00000008394.8	4049
ENSG00000008405.7	1593
ENSG00000008441.12	267
ENSG00000008513.10	821
ENSG00000008517.12	827
ENSG00000008517.12--ENSG00000252561.1	1
ENSG00000008710.13	1486
ENSG00000008710.13--ENSG00000183458.9	2
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5--ENSG00000233024.3--ENSG00000254681.2	2
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000214940.4--ENSG00000205746.5--ENSG00000233024.3--ENSG00000254681.2	1
