Gene	Aligned.sortedByCoord.out
ENSG00000000003.10	1376
ENSG00000000419.8	685
ENSG00000000457.9	281
ENSG00000000460.12	385
ENSG00000000971.11	580
ENSG00000000971.11--ENSG00000244414.2	15
ENSG00000001036.9	3400
ENSG00000001084.6	803
ENSG00000001167.10	492
ENSG00000001460.13	53
ENSG00000001461.12	171
ENSG00000001497.12	590
ENSG00000001561.6	135
ENSG00000001617.7	140
ENSG00000001626.10	31
ENSG00000001629.5	752
ENSG00000001630.11	816
ENSG00000001630.11--ENSG00000240720.3	10348
ENSG00000001630.11--ENSG00000240720.3--ENSG00000233588.1	30
ENSG00000001631.10	618
ENSG00000001631.10--ENSG00000243107.1	29
ENSG00000002016.12	168
ENSG00000002016.12--ENSG00000250132.2	1
ENSG00000002079.8	2
ENSG00000002330.9	102
ENSG00000002549.8	1931
ENSG00000002586.13--ENSGR0000002586.13	624
ENSG00000002587.5	3
ENSG00000002726.15	2
ENSG00000002746.10	129
ENSG00000002822.11	583
ENSG00000002834.13	3784
ENSG00000002919.10	130
ENSG00000002933.3	9
ENSG00000003056.3	2401
ENSG00000003096.9	140
ENSG00000003096.9--ENSG00000239500.2	7
ENSG00000003137.4	292
ENSG00000003147.13	159
ENSG00000003249.9	153
ENSG00000003393.10	1084
ENSG00000003400.10	239
ENSG00000003402.15	857
ENSG00000003402.15--ENSG00000234431.2	12
ENSG00000003436.10	2859
ENSG00000003509.11	137
ENSG00000003756.12	1000
ENSG00000003987.9	1
ENSG00000003989.12	7310
ENSG00000004059.6	841
ENSG00000004059.6--ENSG00000106328.8	120
ENSG00000004139.9	43
ENSG00000004142.7	1473
ENSG00000004399.8	2111
ENSG00000004455.12	1272
ENSG00000004455.12--ENSG00000185839.2	116
ENSG00000004468.8	7
ENSG00000004478.5	2544
ENSG00000004487.11	2720
ENSG00000004534.10	939
ENSG00000004534.10--ENSG00000003756.12	115
ENSG00000004660.10	8
ENSG00000004700.11	1005
ENSG00000004766.11	408
ENSG00000004777.14	24
ENSG00000004779.5	907
ENSG00000004799.7	31
ENSG00000004838.9	21
ENSG00000004864.9	2251
ENSG00000004866.14	489
ENSG00000004897.7	1915
ENSG00000004948.9	3
ENSG00000004961.10	208
ENSG00000004975.7	906
ENSG00000005001.5	5
ENSG00000005007.8	2291
ENSG00000005020.8	363
ENSG00000005022.5	4137
ENSG00000005059.11	10
ENSG00000005073.5	16
ENSG00000005075.11	514
ENSG00000005075.11--ENSG00000168255.14	70
ENSG00000005075.11--ENSG00000168255.14--ENSG00000228049.5--ENSG00000267645.1	19
ENSG00000005075.11--ENSG00000228049.5--ENSG00000267645.1	69
ENSG00000005100.8	536
ENSG00000005108.11	222
ENSG00000005156.7	1839
ENSG00000005175.5	890
ENSG00000005187.7	62
ENSG00000005189.15	112
ENSG00000005194.10	762
ENSG00000005194.10--ENSG00000263846.1	4
ENSG00000005206.12	281
ENSG00000005238.15	84
ENSG00000005243.5	7
ENSG00000005249.8	63
ENSG00000005302.13	50
ENSG00000005339.8	864
ENSG00000005379.11	3
ENSG00000005421.4	381
ENSG00000005421.4--ENSG00000105852.6	6
ENSG00000005436.9	200
ENSG00000005448.12	10
ENSG00000005469.7	76
ENSG00000005471.11	243
ENSG00000005471.11--ENSG00000085563.10	1
ENSG00000005483.15	975
ENSG00000005486.12	329
ENSG00000005513.9	7
ENSG00000005700.10	3081
ENSG00000005801.12	302
ENSG00000005810.13	1113
ENSG00000005812.6	713
ENSG00000005844.13	126
ENSG00000005882.7	23
ENSG00000005884.13	83
ENSG00000005889.11	1359
ENSG00000005893.11	2867
ENSG00000005955.8	880
ENSG00000005961.13	1
ENSG00000005981.8	41
ENSG00000006007.7	410
ENSG00000006015.13	347
ENSG00000006016.6	980
ENSG00000006025.7	16
ENSG00000006042.7	383
ENSG00000006047.8	3
ENSG00000006062.9	35
ENSG00000006114.11	480
ENSG00000006118.10	2157
ENSG00000006125.12	3668
ENSG00000006125.12--ENSG00000234130.2	9
ENSG00000006194.6	433
ENSG00000006210.6	611
ENSG00000006282.15	802
ENSG00000006283.13	8
ENSG00000006327.9	789
ENSG00000006377.9	58
ENSG00000006432.11	376
ENSG00000006451.3	485
ENSG00000006453.9	1144
ENSG00000006459.6	576
ENSG00000006468.9	222
ENSG00000006530.11	616
ENSG00000006534.11	125
ENSG00000006555.6	94
ENSG00000006576.12	356
ENSG00000006606.4	4
ENSG00000006607.9	465
ENSG00000006611.11	405
ENSG00000006625.13	495
ENSG00000006634.3	752
ENSG00000006634.3--ENSG00000235489.3	35
ENSG00000006638.7	19
ENSG00000006652.9	1522
ENSG00000006652.9--ENSG00000181016.5	1
ENSG00000006695.6	250
ENSG00000006695.6--ENSG00000223544.1	4
ENSG00000006704.6	213
ENSG00000006712.10	865
ENSG00000006715.11	992
ENSG00000006740.12	3
ENSG00000006744.14	1281
ENSG00000006747.10	40
ENSG00000006756.11	104
ENSG00000006757.7	62
ENSG00000006831.9	1921
ENSG00000006837.7	8
ENSG00000007047.10	280
ENSG00000007062.7	1563
ENSG00000007080.6	258
ENSG00000007168.8	1693
ENSG00000007202.10	3807
ENSG00000007255.6	207
ENSG00000007314.7	2
ENSG00000007341.14	192
ENSG00000007372.16	43
ENSG00000007376.3	377
ENSG00000007384.11	263
ENSG00000007392.12	476
ENSG00000007402.7	3
ENSG00000007516.9	4
ENSG00000007520.3	301
ENSG00000007541.10	153
ENSG00000007545.11	160
ENSG00000007545.11--ENSG00000261732.1	201
ENSG00000007866.14	333
ENSG00000007923.11	1026
ENSG00000007933.8	2
ENSG00000007944.10	109
ENSG00000007952.13	100
ENSG00000007968.6	298
ENSG00000008018.8	3332
ENSG00000008083.9	375
ENSG00000008086.6	52
ENSG00000008128.18	75
ENSG00000008128.18--ENSG00000268575.1	83
ENSG00000008130.11	862
ENSG00000008226.15	1
ENSG00000008256.11	89
ENSG00000008277.10	73
ENSG00000008282.3	431
ENSG00000008283.11	4
ENSG00000008294.16	2809
ENSG00000008300.10	67
ENSG00000008311.10	287
ENSG00000008323.11	299
ENSG00000008324.6	330
ENSG00000008382.11	76
ENSG00000008394.8	2130
ENSG00000008405.7	866
ENSG00000008441.12	63
ENSG00000008513.10	219
ENSG00000008517.12	808
ENSG00000008517.12--ENSG00000252561.1	1
ENSG00000008710.13	646
ENSG00000008710.13--ENSG00000183458.9	2
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2	2
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000214940.4--ENSG00000205746.5--ENSG00000254681.2	2
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000254681.2	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5	11
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5--ENSG00000233024.3--ENSG00000254681.2	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5--ENSG00000254681.2	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000183889.8--ENSG00000205746.5--ENSG00000254681.2	8
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000205746.5--ENSG00000254681.2	16
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000254681.2	2
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000205746.5--ENSG00000254681.2	2
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000227827.3--ENSG00000205746.5	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000227827.3--ENSG00000205746.5--ENSG00000254681.2	22
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000254681.2	4
ENSG00000008710.13--ENSG00000183458.9--ENSG00000250251.2	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000250251.2--ENSG00000244257.4--ENSG00000205746.5--ENSG00000254681.2	10
ENSG00000008710.13--ENSG00000183458.9--ENSG00000250251.2--ENSG00000244257.4--ENSG00000227827.3--ENSG00000205746.5--ENSG00000254681.2	11
ENSG00000008710.13--ENSG00000183458.9--ENSG00000254681.2	1
ENSG00000008710.13--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2	1
ENSG00000008710.13--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000227827.3--ENSG00000214940.4--ENSG00000205746.5	1
ENSG00000008710.13--ENSG00000205746.5	3
ENSG00000008710.13--ENSG00000227827.3--ENSG00000254681.2	5
ENSG00000008710.13--ENSG00000244257.4--ENSG00000183889.8--ENSG00000205746.5	1
ENSG00000008710.13--ENSG00000244257.4--ENSG00000183889.8--ENSG00000205746.5--ENSG00000254681.2	4
ENSG00000008710.13--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000214940.4--ENSG00000205746.5	2
ENSG00000008710.13--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000214940.4--ENSG00000205746.5--ENSG00000254681.2	3
ENSG00000008710.13--ENSG00000250251.2	2
ENSG00000008710.13--ENSG00000250251.2--ENSG00000227827.3	2
ENSG00000008710.13--ENSG00000254681.2	7
ENSG00000008735.10	32
ENSG00000008838.13	780
ENSG00000008853.12	281
ENSG00000008869.7	535
ENSG00000008952.12	1164
ENSG00000008988.5	5684
ENSG00000008988.5--ENSG00000243802.2	4
ENSG00000008988.5--ENSG00000243802.2--ENSG00000244086.1	5
ENSG00000008988.5--ENSG00000244086.1	2
ENSG00000009307.11	12992
ENSG00000009335.13	2210
ENSG00000009413.11	928
ENSG00000009694.9	59
ENSG00000009724.12	6
ENSG00000009765.10	35
ENSG00000009780.11	118
