gene	A2_rep1	A2_rep2	B2_rep1	B2_rep2	C2_rep1	C2_rep2	D3_rep1	D3_rep2	pUC57_rep1	pUC57_rep2
ENSG00000000003.10	1905	685	1861	872	2115	1350	2771	1376	2300	1271
ENSG00000000419.8	2214	360	2139	486	2249	662	1492	685	2258	662
ENSG00000000457.9	564	282	594	261	624	268	604	281	624	295
ENSG00000000460.12	738	278	734	296	772	373	882	385	820	409
ENSG00000000971.11	2893	439	2755	489	2989	569	2834	580	3116	530
ENSG00000000971.11--ENSG00000244414.2	53	7	45	12	41	16	67	15	58	14
ENSG00000001036.9	5751	2307	5813	2852	6203	3397	6353	3400	6234	3514
ENSG00000001084.6	1373	618	1531	769	1448	836	1366	803	1452	829
ENSG00000001167.10	1173	445	1548	547	1149	438	1110	492	1048	639
ENSG00000001460.13	152	40	170	50	151	64	124	53	152	50
ENSG00000001461.12	300	175	397	196	289	172	397	171	343	178
ENSG00000001497.12	1334	748	1245	648	1526	579	1818	590	1594	615
ENSG00000001561.6	320	90	337	103	355	131	290	135	322	159
ENSG00000001617.7	358	179	341	179	374	136	468	140	389	124
ENSG00000001626.10	32	23	28	27	29	21	31	31	23	28
ENSG00000001629.5	1466	677	1469	770	1473	721	1622	752	1623	752
ENSG00000001630.11	901	1198	1065	1202	1039	918	1556	816	1203	912
ENSG00000001630.11--ENSG00000240720.3	19567	7497	20872	9229	20504	10376	17711	10348	22303	10332
ENSG00000001630.11--ENSG00000240720.3--ENSG00000233588.1	30	37	33	31	19	12	45	30	33	23
ENSG00000001631.10	1611	501	1757	660	1747	612	1498	618	1828	605
ENSG00000001631.10--ENSG00000243107.1	79	12	66	17	78	24	49	29	49	25
ENSG00000002016.12	363	167	361	193	386	175	360	168	395	200
ENSG00000002016.12--ENSG00000250132.2	5	4	4	1	3	2	3	1	3	NA
ENSG00000002079.8	6	1	2	4	1	NA	2	2	3	NA
ENSG00000002330.9	156	108	177	119	215	106	204	102	199	100
ENSG00000002549.8	4405	1709	4231	1805	4837	1944	4249	1931	5030	1894
ENSG00000002586.13--ENSGR0000002586.13	1979	540	1901	584	1949	634	1400	624	2085	615
ENSG00000002587.5	4	2	3	4	4	2	3	3	8	2
ENSG00000002726.15	14	9	6	4	14	5	15	2	18	8
ENSG00000002746.10	210	118	229	131	240	110	232	129	216	128
ENSG00000002822.11	1343	827	1366	844	1413	568	1260	583	1499	553
ENSG00000002834.13	8476	4520	8575	4951	9198	3215	6731	3784	9333	4222
ENSG00000002919.10	173	127	203	168	176	142	307	130	215	126
ENSG00000002933.3	17	5	23	5	23	2	21	9	23	9
