gene	A2_rep1	A2_rep2	B2_rep1	B2_rep2	C2_rep1	C2_rep2	D3_rep1	D3_rep2	pUC57_rep1	pUC57_rep2
ENSG00000000003.10	1905	685	1861	872	2115	1350	2771	1376	2300	1271
ENSG00000000419.8	2214	360	2139	486	2249	662	1492	685	2258	662
ENSG00000000457.9	564	282	594	261	624	268	604	281	624	295
ENSG00000000460.12	738	278	734	296	772	373	882	385	820	409
ENSG00000000971.11	2893	439	2755	489	2989	569	2834	580	3116	530
ENSG00000001036.9	5751	2307	5813	2852	6203	3397	6353	3400	6234	3514
ENSG00000001084.6	1373	618	1531	769	1448	836	1366	803	1452	829
ENSG00000001167.10	1173	445	1548	547	1149	438	1110	492	1048	639
ENSG00000001461.12	300	175	397	196	289	172	397	171	343	178
ENSG00000001497.12	1334	748	1245	648	1526	579	1818	590	1594	615
ENSG00000001561.6	320	90	337	103	355	131	290	135	322	159
ENSG00000001617.7	358	179	341	179	374	136	468	140	389	124
ENSG00000001629.5	1466	677	1469	770	1473	721	1622	752	1623	752
ENSG00000001630.11	901	1198	1065	1202	1039	918	1556	816	1203	912
ENSG00000001631.10	1611	501	1757	660	1747	612	1498	618	1828	605
ENSG00000002016.12	363	167	361	193	386	175	360	168	395	200
ENSG00000002330.9	156	108	177	119	215	106	204	102	199	100
ENSG00000002549.8	4405	1709	4231	1805	4837	1944	4249	1931	5030	1894
ENSG00000002746.10	210	118	229	131	240	110	232	129	216	128
ENSG00000002822.11	1343	827	1366	844	1413	568	1260	583	1499	553
ENSG00000002834.13	8476	4520	8575	4951	9198	3215	6731	3784	9333	4222
ENSG00000002919.10	173	127	203	168	176	142	307	130	215	126
ENSG00000003056.3	5123	1872	5026	2276	5496	2419	4662	2401	5528	2490
ENSG00000003096.9	256	110	259	167	270	153	298	140	292	190
ENSG00000003137.4	568	334	527	354	629	217	667	292	583	260
ENSG00000003147.13	338	148	355	174	300	171	257	159	258	149
ENSG00000003249.9	309	137	348	141	305	152	311	153	308	162
ENSG00000003393.10	1965	1002	2250	1108	2252	1060	2179	1084	2248	1093
ENSG00000003400.10	501	319	565	301	557	276	605	239	521	258
ENSG00000003402.15	1649	882	1846	891	1745	731	1757	857	1844	910
ENSG00000003436.10	6108	1812	6166	2188	6398	2787	5962	2859	6437	2880
ENSG00000003509.11	346	99	346	102	328	128	283	137	350	104
ENSG00000003756.12	1846	956	1866	1075	1963	918	2043	1000	2035	978
ENSG00000003989.12	14477	7031	16725	8017	15105	7391	19108	7310	16416	8159
ENSG00000004059.6	2400	821	2327	917	2502	812	1924	841	2466	903
