Gene	A2_rep1	B2_rep1	C2_rep1	D3_rep1	pUC57_rep1	A2_rep2	B2_rep2	C2_rep2	D3_rep2	pUC57_rep2
ENSG00000000003.10	685	872	1271	1376	1350	2771	2115	1905	2300	1861
ENSG00000000005.5	0	0	0	0	0	1	0	0	0	0
ENSG00000000419.8	360	486	662	685	662	1492	2249	2214	2258	2139
ENSG00000000457.9	282	261	295	281	268	604	624	564	624	594
ENSG00000000460.12	278	296	409	385	373	882	772	738	820	734
ENSG00000000938.8	1	0	0	0	0	1	0	0	0	0
ENSG00000000971.11	439	489	530	580	569	2834	2989	2893	3116	2755
ENSG00000000971.11--ENSG00000244414.2	7	12	14	15	16	67	41	53	58	45
ENSG00000001036.9	2307	2852	3514	3400	3397	6353	6203	5751	6234	5813
ENSG00000001084.6	618	769	829	803	836	1366	1448	1373	1452	1531
ENSG00000001084.6--ENSG00000231683.2	1	0	0	0	0	0	0	0	0	1
ENSG00000001167.10	445	547	639	492	438	1110	1149	1173	1048	1548
ENSG00000001460.13	40	50	50	53	64	124	151	152	152	170
ENSG00000001461.12	175	196	178	171	172	397	289	300	343	397
ENSG00000001497.12	748	648	615	590	579	1818	1526	1334	1594	1245
ENSG00000001561.6	90	103	159	135	131	290	355	320	322	337
ENSG00000001617.7	179	179	124	140	136	468	374	358	389	341
ENSG00000001626.10	23	27	28	31	21	31	29	32	23	28
ENSG00000001629.5	677	770	752	752	721	1622	1473	1466	1623	1469
ENSG00000001630.11	1198	1202	912	816	918	1556	1039	901	1203	1065
ENSG00000001630.11--ENSG00000240720.3	7497	9229	10332	10348	10376	17711	20504	19567	22303	20872
ENSG00000001630.11--ENSG00000240720.3--ENSG00000233588.1	37	31	23	30	12	45	19	30	33	33
ENSG00000001631.10	501	660	605	618	612	1498	1747	1611	1828	1757
ENSG00000001631.10--ENSG00000243107.1	12	17	25	29	24	49	78	79	49	66
ENSG00000002016.12	167	193	200	168	175	360	386	363	395	361
ENSG00000002016.12--ENSG00000250132.2	4	1	0	1	2	3	3	5	3	4
ENSG00000002079.8	1	4	0	2	0	2	1	6	3	2
ENSG00000002330.9	108	119	100	102	106	204	215	156	199	177
ENSG00000002549.8	1709	1805	1894	1931	1944	4249	4837	4405	5030	4231
ENSG00000002586.13--ENSGR0000002586.13	540	584	615	624	634	1400	1949	1979	2085	1901
ENSG00000002587.5	2	4	2	3	2	3	4	4	8	3
ENSG00000002726.15	9	4	8	2	5	15	14	14	18	6
ENSG00000002746.10	118	131	128	129	110	232	240	210	216	229
ENSG00000002822.11	827	844	553	583	568	1260	1413	1343	1499	1366
ENSG00000002834.13	4520	4951	4222	3784	3215	6731	9198	8476	9333	8575
ENSG00000002919.10	127	168	126	130	142	307	176	173	215	203
ENSG00000002933.3	5	5	9	9	2	21	23	17	23	23
ENSG00000003056.3	1872	2276	2490	2401	2419	4662	5496	5123	5528	5026
ENSG00000003096.9	110	167	190	140	153	298	270	256	292	259
ENSG00000003096.9--ENSG00000239500.2	13	10	6	7	11	13	18	13	19	6
ENSG00000003137.4	334	354	260	292	217	667	629	568	583	527
ENSG00000003147.13	148	174	149	159	171	257	300	338	258	355
ENSG00000003249.9	137	141	162	153	152	311	305	309	308	348
ENSG00000003393.10	1002	1108	1093	1084	1060	2179	2252	1965	2248	2250
ENSG00000003400.10	319	301	258	239	276	605	557	501	521	565
ENSG00000003402.15	882	891	910	857	731	1757	1745	1649	1844	1846
ENSG00000003402.15--ENSG00000234431.2	6	9	9	12	10	29	12	18	23	12
ENSG00000003436.10	1812	2188	2880	2859	2787	5962	6398	6108	6437	6166
ENSG00000003509.11	99	102	104	137	128	283	328	346	350	346
ENSG00000003756.12	956	1075	978	1000	918	2043	1963	1846	2035	1866
ENSG00000003987.9	5	2	9	1	4	26	11	17	12	10
ENSG00000003989.12	7031	8017	8159	7310	7391	19108	15105	14477	16416	16725
ENSG00000004059.6	821	917	903	841	812	1924	2502	2400	2466	2327
ENSG00000004059.6--ENSG00000106328.8	77	103	121	120	110	284	140	150	165	134
ENSG00000004139.9	28	55	34	43	26	50	46	50	37	76
ENSG00000004142.7	1494	1618	1572	1473	1520	3504	3318	3428	3622	3455
ENSG00000004399.8	3003	2777	2184	2111	1775	3871	4151	4303	4300	4766
ENSG00000004455.12	1097	1256	1415	1272	1322	3217	3944	3753	4242	3590
ENSG00000004455.12--ENSG00000185839.2	142	152	104	116	111	300	269	266	320	270
ENSG00000004455.12--ENSG00000185839.2--ENSG00000242272.1	1	0	1	0	0	0	0	0	0	0
ENSG00000004468.8	6	7	10	7	12	41	45	41	37	45
ENSG00000004478.5	2460	2686	2582	2544	2474	6953	6164	5664	7031	5269
ENSG00000004487.11	2581	2814	2606	2720	2665	6660	7167	6696	7723	6655
ENSG00000004534.10	905	947	875	939	841	1946	2483	2232	2601	2211
ENSG00000004534.10--ENSG00000003756.12	132	122	93	115	100	278	412	333	432	297
ENSG00000004660.10	11	9	10	8	10	20	19	11	19	26
ENSG00000004700.11	835	1009	947	1005	998	1866	2106	1857	2138	1959
ENSG00000004766.11	332	382	425	408	421	890	967	894	950	909
ENSG00000004776.7	1	0	0	0	0	5	1	2	2	3
ENSG00000004777.14	34	40	31	24	32	70	63	37	49	43
ENSG00000004779.5	516	721	948	907	886	1838	1439	1291	1738	1293
ENSG00000004799.7	23	33	25	31	31	73	128	90	89	119
ENSG00000004809.9	0	1	0	0	0	1	1	1	0	1
ENSG00000004838.9	23	17	16	21	10	38	35	36	27	34
ENSG00000004846.12	0	0	1	0	0	2	0	1	0	0
ENSG00000004848.6	0	0	0	0	0	0	0	1	1	0
ENSG00000004864.9	1801	2269	2380	2251	2284	4627	4649	4369	4766	4599
ENSG00000004866.14	363	470	536	489	501	977	1108	1092	1088	1103
ENSG00000004866.14--ENSG00000214188.5	0	3	0	0	0	2	4	3	10	7
ENSG00000004897.7	1352	1601	1795	1915	1854	4442	5616	5460	5760	5449
ENSG00000004939.9	0	1	0	0	0	0	0	0	0	0
ENSG00000004948.9	6	13	8	3	7	19	20	29	16	13
ENSG00000004961.10	144	178	199	208	188	426	456	423	492	472
ENSG00000004975.7	922	1042	853	906	825	1812	1529	1433	1558	1465
ENSG00000005001.5	6	10	5	5	2	1	1	0	1	3
ENSG00000005007.8	2872	3018	2350	2291	2160	5493	4897	4536	5119	4716
ENSG00000005020.8	229	317	364	363	348	514	593	577	615	588
ENSG00000005022.5	2630	3332	4081	4137	3908	9036	6955	6307	7314	6410
ENSG00000005059.11	9	16	25	10	22	49	44	44	52	54
ENSG00000005073.5	16	30	31	16	21	46	61	58	46	70
ENSG00000005075.11	270	341	445	514	498	1125	1746	1697	1714	1549
ENSG00000005075.11--ENSG00000168255.14	19	17	62	70	80	163	372	451	340	375
ENSG00000005075.11--ENSG00000168255.14--ENSG00000228049.5--ENSG00000267645.1	6	12	16	19	20	34	54	56	63	57
ENSG00000005075.11--ENSG00000228049.5--ENSG00000267645.1	28	32	82	69	79	157	377	428	423	380
ENSG00000005100.8	574	597	601	536	524	1253	1128	1151	1216	1450
ENSG00000005108.11	228	298	288	222	261	389	426	411	397	483
ENSG00000005156.7	2261	2261	1879	1839	1826	4660	4834	4569	5139	4599
ENSG00000005175.5	644	727	835	890	780	1847	2400	2258	2491	2301
ENSG00000005187.7	55	65	65	62	57	162	135	143	150	131
ENSG00000005189.15	112	108	101	112	105	289	279	295	332	280
ENSG00000005194.10	616	662	735	762	740	1612	1297	1123	1295	1164
ENSG00000005194.10--ENSG00000263846.1	2	1	3	4	1	3	7	6	8	1
ENSG00000005206.12	429	399	250	281	283	653	566	547	579	600
ENSG00000005238.15	76	105	90	84	93	101	109	119	108	133
ENSG00000005243.5	13	10	8	7	6	11	19	13	3	18
ENSG00000005249.8	62	74	84	63	103	75	99	104	112	89
ENSG00000005302.13	37	52	43	50	61	116	144	115	130	120
ENSG00000005339.8	1054	1040	958	864	702	1781	1706	1847	1679	2405
ENSG00000005379.11	9	7	7	3	6	14	10	19	11	11
ENSG00000005421.4	189	259	342	381	391	807	588	552	661	582
ENSG00000005421.4--ENSG00000105852.6	3	5	4	6	4	2	9	3	11	11
ENSG00000005436.9	171	177	180	200	179	467	509	475	499	496
ENSG00000005448.12	5	6	8	10	9	35	25	23	20	30
ENSG00000005469.7	57	67	97	76	76	148	131	135	131	135
ENSG00000005471.11	242	231	239	243	226	638	562	588	649	630
ENSG00000005471.11--ENSG00000085563.10	2	1	4	1	1	5	0	1	0	1
ENSG00000005483.15	878	1065	1055	975	882	1984	2384	2426	2278	2725
ENSG00000005486.12	303	349	365	329	291	690	687	711	677	663
ENSG00000005513.9	13	14	9	7	6	9	18	9	7	11
ENSG00000005700.10	2533	3260	3082	3081	3104	5206	5055	4795	5036	5883
ENSG00000005801.12	265	295	308	302	318	658	819	801	839	818
ENSG00000005810.13	1135	1324	1220	1113	1056	2480	2089	1953	2172	2674
ENSG00000005812.6	525	604	738	713	654	1457	1581	1530	1481	1518
ENSG00000005844.13	191	169	138	126	141	507	401	401	438	424
ENSG00000005882.7	17	19	20	23	17	80	82	78	78	101
ENSG00000005884.13	122	89	114	83	67	85	92	70	108	56
ENSG00000005889.11	1247	1444	1529	1359	1381	2519	2637	2521	2643	2905
ENSG00000005893.11	1775	2359	2759	2867	2701	5128	4746	4338	4910	4379
ENSG00000005955.8	710	805	783	880	838	1862	1844	1678	1912	1815
ENSG00000005961.13	2	1	2	1	0	1	3	0	4	0
ENSG00000005981.8	42	43	52	41	42	53	76	45	72	64
ENSG00000006007.7	362	430	401	410	444	889	964	894	966	944
ENSG00000006015.13	459	471	363	347	349	734	598	697	669	689
ENSG00000006016.6	1112	1146	1047	980	1017	3276	2938	2643	3170	2705
ENSG00000006025.7	31	29	17	16	16	54	46	34	43	31
ENSG00000006042.7	295	366	386	383	380	894	828	790	943	798
ENSG00000006047.8	8	5	4	3	3	11	9	13	16	12
ENSG00000006062.9	46	55	58	35	36	74	75	63	74	72
ENSG00000006071.7	0	1	0	0	0	1	1	0	0	1
ENSG00000006074.4	0	1	0	0	0	0	0	0	0	0
ENSG00000006075.11	0	0	0	0	0	0	1	0	0	0
ENSG00000006114.11	493	586	552	480	435	1067	1144	1218	1085	1567
ENSG00000006118.10	2975	2954	2141	2157	2067	4770	3768	3497	3833	3537
ENSG00000006125.12	3185	4101	4467	3668	3389	6887	6210	6757	6396	8789
ENSG00000006125.12--ENSG00000234130.2	12	8	12	9	10	17	14	10	13	9
ENSG00000006194.6	460	530	424	433	410	905	886	847	943	902
ENSG00000006210.6	652	582	575	611	526	1294	1240	1200	1234	979
ENSG00000006282.15	953	974	786	802	782	1124	1103	1036	1036	1024
ENSG00000006283.13	19	13	9	8	7	15	14	20	17	11
ENSG00000006327.9	672	802	834	789	806	963	969	897	934	1046
ENSG00000006377.9	37	59	58	58	58	190	157	161	184	192
ENSG00000006432.11	469	483	355	376	363	634	458	458	465	550
ENSG00000006451.3	372	436	548	485	424	1043	1051	955	1111	1103
ENSG00000006451.3--ENSG00000257564.1	0	0	0	0	1	1	0	0	1	0
ENSG00000006453.9	1087	1263	1101	1144	1024	2067	2212	2160	2345	2181
ENSG00000006459.6	517	566	614	576	504	1295	1084	1077	1170	1471
ENSG00000006468.9	172	229	213	222	244	826	928	892	914	919
ENSG00000006530.11	459	526	602	616	645	1384	1661	1619	1684	1563
