gene	pUC57_rep2
ENSG00000000003.10	1271
ENSG00000000419.8	662
ENSG00000000457.9	295
ENSG00000000460.12	409
ENSG00000000971.11	530
ENSG00000000971.11--ENSG00000244414.2	14
ENSG00000001036.9	3514
ENSG00000001084.6	829
ENSG00000001167.10	639
ENSG00000001460.13	50
ENSG00000001461.12	178
ENSG00000001497.12	615
ENSG00000001561.6	159
ENSG00000001617.7	124
ENSG00000001626.10	28
ENSG00000001629.5	752
ENSG00000001630.11	912
ENSG00000001630.11--ENSG00000240720.3	10332
ENSG00000001630.11--ENSG00000240720.3--ENSG00000233588.1	23
ENSG00000001631.10	605
ENSG00000001631.10--ENSG00000243107.1	25
ENSG00000002016.12	200
ENSG00000002330.9	100
ENSG00000002549.8	1894
ENSG00000002586.13--ENSGR0000002586.13	615
ENSG00000002587.5	2
ENSG00000002726.15	8
ENSG00000002746.10	128
ENSG00000002822.11	553
ENSG00000002834.13	4222
ENSG00000002919.10	126
ENSG00000002933.3	9
ENSG00000003056.3	2490
ENSG00000003096.9	190
ENSG00000003096.9--ENSG00000239500.2	6
ENSG00000003137.4	260
ENSG00000003147.13	149
ENSG00000003249.9	162
ENSG00000003393.10	1093
ENSG00000003400.10	258
ENSG00000003402.15	910
ENSG00000003402.15--ENSG00000234431.2	9
ENSG00000003436.10	2880
ENSG00000003509.11	104
ENSG00000003756.12	978
ENSG00000003987.9	9
ENSG00000003989.12	8159
ENSG00000004059.6	903
ENSG00000004059.6--ENSG00000106328.8	121
ENSG00000004139.9	34
ENSG00000004142.7	1572
ENSG00000004399.8	2184
ENSG00000004455.12	1415
ENSG00000004455.12--ENSG00000185839.2	104
ENSG00000004455.12--ENSG00000185839.2--ENSG00000242272.1	1
ENSG00000004468.8	10
ENSG00000004478.5	2582
ENSG00000004487.11	2606
ENSG00000004534.10	875
ENSG00000004534.10--ENSG00000003756.12	93
ENSG00000004660.10	10
ENSG00000004700.11	947
ENSG00000004766.11	425
ENSG00000004777.14	31
ENSG00000004779.5	948
ENSG00000004799.7	25
ENSG00000004838.9	16
ENSG00000004846.12	1
ENSG00000004864.9	2380
ENSG00000004866.14	536
ENSG00000004897.7	1795
ENSG00000004948.9	8
ENSG00000004961.10	199
ENSG00000004975.7	853
ENSG00000005001.5	5
ENSG00000005007.8	2350
ENSG00000005020.8	364
ENSG00000005022.5	4081
ENSG00000005059.11	25
ENSG00000005073.5	31
ENSG00000005075.11	445
ENSG00000005075.11--ENSG00000168255.14	62
ENSG00000005075.11--ENSG00000168255.14--ENSG00000228049.5--ENSG00000267645.1	16
ENSG00000005075.11--ENSG00000228049.5--ENSG00000267645.1	82
ENSG00000005100.8	601
ENSG00000005108.11	288
ENSG00000005156.7	1879
ENSG00000005175.5	835
ENSG00000005187.7	65
ENSG00000005189.15	101
ENSG00000005194.10	735
ENSG00000005194.10--ENSG00000263846.1	3
ENSG00000005206.12	250
ENSG00000005238.15	90
ENSG00000005243.5	8
ENSG00000005249.8	84
ENSG00000005302.13	43
ENSG00000005339.8	958
ENSG00000005379.11	7
ENSG00000005421.4	342
ENSG00000005421.4--ENSG00000105852.6	4
ENSG00000005436.9	180
ENSG00000005448.12	8
ENSG00000005469.7	97
ENSG00000005471.11	239
ENSG00000005471.11--ENSG00000085563.10	4
ENSG00000005483.15	1055
ENSG00000005486.12	365
ENSG00000005513.9	9
ENSG00000005700.10	3082
ENSG00000005801.12	308
ENSG00000005810.13	1220
ENSG00000005812.6	738
ENSG00000005844.13	138
ENSG00000005882.7	20
ENSG00000005884.13	114
ENSG00000005889.11	1529
ENSG00000005893.11	2759
ENSG00000005955.8	783
ENSG00000005961.13	2
ENSG00000005981.8	52
ENSG00000006007.7	401
ENSG00000006015.13	363
ENSG00000006016.6	1047
ENSG00000006025.7	17
ENSG00000006042.7	386
ENSG00000006047.8	4
ENSG00000006062.9	58
ENSG00000006114.11	552
ENSG00000006118.10	2141
ENSG00000006125.12	4467
ENSG00000006125.12--ENSG00000234130.2	12
ENSG00000006194.6	424
ENSG00000006210.6	575
ENSG00000006282.15	786
ENSG00000006283.13	9
ENSG00000006327.9	834
ENSG00000006377.9	58
ENSG00000006432.11	355
ENSG00000006451.3	548
ENSG00000006453.9	1101
ENSG00000006459.6	614
ENSG00000006468.9	213
ENSG00000006530.11	602
ENSG00000006534.11	114
ENSG00000006555.6	95
ENSG00000006576.12	417
ENSG00000006606.4	1
ENSG00000006607.9	544
ENSG00000006611.11	420
ENSG00000006625.13	499
ENSG00000006625.13--ENSG00000196295.7	3
ENSG00000006634.3	704
ENSG00000006634.3--ENSG00000235489.3	24
ENSG00000006638.7	21
ENSG00000006652.9	1393
ENSG00000006695.6	272
ENSG00000006695.6--ENSG00000223544.1	3
ENSG00000006704.6	242
ENSG00000006712.10	783
ENSG00000006715.11	1058
ENSG00000006740.12	1
ENSG00000006744.14	1255
ENSG00000006747.10	30
ENSG00000006756.11	112
ENSG00000006757.7	49
ENSG00000006831.9	2081
ENSG00000006837.7	6
ENSG00000007047.10	320
ENSG00000007062.7	1687
ENSG00000007080.6	234
ENSG00000007168.8	1619
ENSG00000007168.8--ENSG00000239884.2	1
ENSG00000007171.12	1
ENSG00000007202.10	3804
ENSG00000007216.10	1
ENSG00000007255.6	251
ENSG00000007314.7	1
ENSG00000007341.14	188
ENSG00000007372.16	48
ENSG00000007376.3	378
ENSG00000007384.11	292
ENSG00000007392.12	384
ENSG00000007402.7	2
ENSG00000007516.9	5
ENSG00000007520.3	353
ENSG00000007541.10	160
ENSG00000007545.11	200
ENSG00000007545.11--ENSG00000261732.1	193
ENSG00000007866.14	303
ENSG00000007923.11	1081
ENSG00000007933.8	1
ENSG00000007944.10	95
ENSG00000007952.13	79
ENSG00000007968.6	313
ENSG00000008018.8	3277
ENSG00000008083.9	406
ENSG00000008086.6	61
ENSG00000008128.18	69
ENSG00000008128.18--ENSG00000268575.1	92
ENSG00000008130.11	889
ENSG00000008226.15	3
ENSG00000008256.11	98
ENSG00000008277.10	78
ENSG00000008282.3	544
ENSG00000008283.11	6
ENSG00000008294.16	2769
ENSG00000008300.10	82
ENSG00000008311.10	329
ENSG00000008323.11	308
ENSG00000008324.6	333
ENSG00000008382.11	85
ENSG00000008394.8	2268
ENSG00000008405.7	842
ENSG00000008441.12	68
ENSG00000008513.10	215
ENSG00000008517.12	858
ENSG00000008710.13	653
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5--ENSG00000233024.3--ENSG00000254681.2	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000214940.4--ENSG00000205746.5--ENSG00000233024.3--ENSG00000254681.2	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000254681.2	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000244257.4	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5	11
