D3_pos	ss	D3_reads
100000586	3ss	66
100000691	5ss	91
100002451	3ss	91
100002655	5ss	76
100003848	3ss	27
100006181	3ss	54
100006312	5ss	65
100006682	3ss	65
100006864	5ss	100
100007007	3ss	100
100007168	5ss	77
100009422	3ss	76
100009430	3ss	77
100009545	5ss	84
100009561	5ss	65
100010730	3ss	65
100010861	5ss	70
100010972	3ss	70
100011048	5ss	75
100011182	3ss	75
100011346	5ss	59
100013223	3ss	59
100013361	5ss	48
100013931	3ss	84
100014055	5ss	99
100014146	3ss	99
100014192	5ss	96
100015016	3ss	96
100015119	5ss	77
100015211	3ss	48
100015372	5ss	63
100015770	3ss	63
100016767	3ss	77
100016889	5ss	85
100018083	3ss	85
100018175	5ss	75
100020041	3ss	93
100020160	5ss	74
100020911	3ss	75
100021081	5ss	74
100023690	3ss	74
100023732	5ss	69
100025281	3ss	69
100025387	5ss	61
100026163	5ss	16
100029247	3ss	61
100029312	5ss	196
100029386	5ss	124
100030542	3ss	196
100030677	3ss	48
100030721	5ss	55
100030760	5ss	212
100030886	3ss	212
100031012	5ss	245
100031125	3ss	245
100034943	3ss	131
100035031	5ss	65
10003573	5ss	19
100037482	3ss	74
100037913	3ss	65
100038048	5ss	105
100039621	3ss	105
100039815	5ss	89
100042431	3ss	89
1000432	3ss	30
100050651	3ss	16
100053642	5ss	131
100057931	3ss	131
100058049	5ss	198
100058659	3ss	198
100058779	5ss	225
1000598	5ss	36
100059917	3ss	225
100060005	5ss	269
100064429	3ss	269
100064522	5ss	249
100065025	3ss	249
100065099	5ss	290
100067647	3ss	290
100067725	5ss	287
100071248	3ss	287
100071346	5ss	300
100073616	3ss	300
100073671	5ss	313
100074021	3ss	313
100075463	5ss	67
100076516	3ss	67
100076594	5ss	96
100077240	3ss	96
100077409	5ss	138
100078281	3ss	138
100078417	5ss	135
100078875	3ss	135
100078994	5ss	94
100079109	3ss	94
100079246	5ss	102
100081623	3ss	102
100081746	5ss	108
100083029	3ss	108
100083091	5ss	61
10008405	3ss	61
10008558	5ss	87
100086504	3ss	61
100086645	5ss	76
100087723	3ss	76
100087898	5ss	105
100088169	3ss	105
100088461	5ss	108
100092328	3ss	108
100092438	5ss	69
100093228	3ss	69
100093353	5ss	80
100095703	3ss	80
100106309	5ss	28
100111918	5ss	35
100115348	5ss	15
100121283	5ss	40
100123326	3ss	15
100123507	5ss	14
100127875	3ss	35
100127928	3ss	14
100127955	5ss	44
100133198	3ss	44
100133322	5ss	11
100136930	5ss	10
100137190	5ss	647
100137736	3ss	10
100138635	3ss	28
100138716	5ss	56
100146445	3ss	647
100146538	5ss	642
100146955	5ss	13
100147243	3ss	13
100147365	5ss	27
100147824	3ss	27
100147961	5ss	19
100148019	3ss	642
100148134	5ss	711
100148541	3ss	40
100148729	5ss	61
100148893	3ss	19
100148980	5ss	20
100150970	3ss	701
100151123	5ss	1062
100151716	3ss	1062
100151881	5ss	917
100152232	3ss	11
100152346	5ss	14
100152486	3ss	14
100152519	5ss	14
100152632	3ss	14
100152745	5ss	14
100153233	3ss	927
100153358	5ss	840
100154031	5ss	351
100154217	3ss	99
100154249	5ss	94
100154331	3ss	14
100155202	3ss	20
100155393	5ss	17
100155428	5ss	10
100159575	3ss	10
10015981	5ss	42
100159882	3ss	835
10015994	3ss	87
100160002	5ss	536
100160069	3ss	17
100160217	3ss	536
100160238	5ss	18
100160305	5ss	394
100160486	3ss	379
100160507	3ss	15
100160569	5ss	598
100161457	3ss	598
10016147	5ss	118
100161585	5ss	630
100161841	3ss	630
100161926	5ss	769
100162555	3ss	769
100168777	3ss	18
100168971	5ss	10
100169868	3ss	351
100169935	5ss	456
100170563	3ss	61
100170793	5ss	60
100172290	3ss	456
100172383	5ss	514
100173183	3ss	56
100173378	5ss	104
100174621	3ss	60
100181721	3ss	514
100181848	5ss	564
100182267	3ss	10
100182391	5ss	18
100185766	3ss	104
100185969	5ss	84
100188862	3ss	564
100188991	5ss	498
10018906	3ss	42
100189993	3ss	498
100190117	5ss	654
100190954	5ss	35
100191700	3ss	654
100191811	5ss	507
10019295	5ss	27
100192968	3ss	507
100193047	5ss	661
100193215	3ss	35
100193356	5ss	38
100193813	3ss	661
100193921	5ss	652
100194307	3ss	38
100194520	5ss	42
100196117	3ss	652
100196249	5ss	607
100199239	3ss	607
100199358	5ss	422
100200174	5ss	25
100201053	3ss	25
100201161	5ss	35
100201419	3ss	422
100201476	5ss	498
100201527	3ss	42
100201582	3ss	35
100201600	5ss	41
100201840	5ss	43
100202714	3ss	43
100202838	5ss	22
100203299	3ss	22
100203435	5ss	41
100203940	3ss	41
100204039	3ss	41
100204157	5ss	26
100204253	5ss	42
100204421	3ss	498
100204580	5ss	634
100205075	3ss	42
100205104	3ss	18
100205146	5ss	57
100205260	3ss	57
100205285	5ss	13
100205430	5ss	41
100205560	3ss	41
100206558	3ss	634
100206709	5ss	555
100207790	3ss	555
100207901	5ss	623
100209864	5ss	14
100210353	3ss	14
100210619	5ss	36
100210817	3ss	36
100210892	5ss	60
100211100	3ss	60
100211329	5ss	71
100211528	3ss	63
100211617	3ss	623
100211659	5ss	72
100211725	3ss	21
100211772	5ss	26
100211788	5ss	390
100211862	5ss	21
100212490	3ss	71
100212654	5ss	60
100212775	3ss	60
100214598	3ss	93
100214817	5ss	117
100214945	3ss	390
100215604	3ss	117
100215663	5ss	91
100222460	3ss	26
100223046	5ss	43
100227124	3ss	43
100227310	5ss	15
10022835	3ss	118
10022934	5ss	97
100230446	3ss	91
100230633	5ss	116
100232840	3ss	15
100232951	5ss	26
100234575	3ss	26
100234777	5ss	45
100235774	3ss	45
100235908	5ss	44
100237665	3ss	44
10023770	3ss	27
100237751	5ss	30
100238306	3ss	11
10023969	5ss	54
100240721	3ss	30
100240855	5ss	28
100243110	3ss	28
100243220	5ss	39
100245131	3ss	39
100245633	5ss	39
100246934	3ss	116
100247060	5ss	115
100249454	3ss	39
100249614	5ss	50
10025042	3ss	54
100250839	3ss	115
100250965	5ss	69
10025191	5ss	27
100252595	3ss	69
100257945	3ss	50
100259880	5ss	14
10026222	3ss	27
10026345	5ss	17
100271546	5ss	69
100273800	3ss	69
100273945	5ss	296
100274053	3ss	15
100274158	3ss	296
100274196	5ss	319
100274245	5ss	41
100274316	3ss	319
100274422	5ss	393
100274975	3ss	393
100275038	5ss	425
100275121	3ss	425
100275283	5ss	576
100275375	3ss	576
100275441	5ss	664
100275604	3ss	41
100275721	3ss	664
100275816	5ss	48
100275922	5ss	804
100276021	3ss	804
100276237	5ss	601
100276318	3ss	601
100277249	3ss	48
100277433	5ss	30
100286426	3ss	13
100286560	5ss	21
100287309	3ss	21
100287666	3ss	30
100287811	5ss	34
100295769	3ss	34
10030038	3ss	17
100303927	5ss	366
100304444	3ss	366
10030860	5ss	20
100315971	5ss	11
100316531	3ss	11
100316680	5ss	51
100317190	3ss	14
100317372	5ss	43
100318616	5ss	28
100319181	3ss	28
100319326	5ss	22
100319585	3ss	22
100319671	5ss	26
100320287	3ss	26
100320466	5ss	49
100320601	3ss	49
10032076	3ss	19
10032246	5ss	57
10032311	3ss	20
10032537	5ss	14
100327059	3ss	51
100327269	5ss	67
100327813	3ss	67
100327979	5ss	64
100329942	3ss	64
100330145	5ss	66
100331851	3ss	43
100331983	5ss	24
100335956	3ss	66
100336137	5ss	55
100336314	3ss	55
100336425	5ss	68
10033760	3ss	14
10033923	5ss	27
100340243	3ss	68
100340366	5ss	70
100340710	3ss	70
100340812	5ss	61
100340914	3ss	61
100341011	5ss	55
100342014	3ss	55
100342153	5ss	82
100343197	3ss	82
100343384	5ss	87
100344822	3ss	24
100344956	5ss	33
100345479	3ss	87
100345602	5ss	74
100346188	3ss	74
100346351	5ss	74
100346632	3ss	74
100346733	5ss	66
100346848	3ss	66
100347003	5ss	74
100347097	3ss	74
100347247	5ss	71
100349676	3ss	71
100349800	5ss	67
100349895	3ss	67
100350007	5ss	55
100350125	3ss	55
100350259	5ss	63
10035110	3ss	27
10035247	5ss	26
100353223	5ss	10
100353237	5ss	27
100353433	3ss	37
100353528	5ss	88
100353534	3ss	63
100353664	5ss	61
100354798	3ss	17
100355689	5ss	10
100356047	3ss	81
100356285	5ss	72
10035650	3ss	57
100356776	3ss	61
100356912	5ss	97
100357162	3ss	97
100357263	3ss	72
100357295	5ss	91
100357400	5ss	96
100357536	3ss	33
100357564	5ss	35
100357988	3ss	91
100358163	5ss	85
10035833	5ss	66
100360966	3ss	35
100361095	5ss	29
10036150	3ss	26
100361842	3ss	85
100361944	5ss	63
100363482	3ss	29
100363631	5ss	17
100364462	3ss	96
100364570	3ss	17
100364580	5ss	66
100364639	5ss	31
100364880	3ss	66
100364987	5ss	61
100366192	3ss	63
100366417	5ss	76
100367266	3ss	31
100367376	5ss	40
100368239	3ss	76
100368350	5ss	73
1003722	3ss	36
1003728	3ss	282
100373975	3ss	40
100374070	5ss	50
100375391	3ss	61
100375439	5ss	58
100375682	3ss	50
100375727	3ss	58
100375773	5ss	29
100375816	5ss	44
100376268	3ss	73
100376403	5ss	64
100376579	3ss	44
100376678	5ss	42
100377759	3ss	42
100377913	5ss	42
100377961	3ss	64
100378073	5ss	63
100379083	3ss	63
100379294	5ss	78
1003801	5ss	290
1003804	5ss	40
100380516	3ss	42
100380641	5ss	22
100380903	3ss	22
100380945	3ss	78
100381034	5ss	17
100381042	5ss	77
100381698	3ss	29
100381787	5ss	46
100381966	3ss	77
100382053	5ss	84
100382127	3ss	46
100382154	3ss	84
100382255	5ss	76
100382287	5ss	104
100382487	3ss	76
100382654	5ss	98
100383705	3ss	98
100383825	5ss	76
100384119	3ss	17
100384186	5ss	25
100384971	3ss	76
100385062	5ss	72
100387090	3ss	104
100387126	3ss	25
100387179	3ss	72
100387214	5ss	22
100387296	5ss	87
100387381	3ss	87
100387445	5ss	42
100395655	3ss	42
100395749	5ss	58
100396197	5ss	75
100400053	3ss	58
100400188	5ss	59
100401142	3ss	59
100401266	5ss	90
100402366	3ss	22
100402463	5ss	22
100402584	3ss	22
100402671	5ss	33
100402752	3ss	90
100402800	5ss	93
100402932	3ss	93
100403076	3ss	75
100403150	5ss	54
100403164	5ss	95
100403844	3ss	95
100403932	5ss	10
100403944	5ss	155
100404154	3ss	33
100404249	5ss	24
100405486	3ss	155
100405534	3ss	24
100405642	5ss	141
100405664	5ss	16
100406324	3ss	16
100407399	3ss	141
100407506	5ss	155
100407893	3ss	155
100408014	5ss	207
100409774	3ss	207
100409843	5ss	153
100410290	3ss	153
100410505	5ss	122
10041089	3ss	66
10041228	5ss	43
100412785	3ss	122
100412882	5ss	205
100413592	3ss	205
100413655	5ss	219
100416080	3ss	219
100416190	5ss	175
100416517	3ss	54
100416558	5ss	53
100417162	3ss	175
100417226	5ss	129
100417822	3ss	53
100417984	3ss	129
100418046	5ss	167
100418293	3ss	167
100418367	5ss	175
100420922	3ss	175
100421025	5ss	147
100423228	3ss	147
100423350	5ss	112
10042359	3ss	43
100424324	3ss	112
100424426	5ss	176
100425236	3ss	176
100425329	5ss	174
100426622	3ss	174
100426725	5ss	145
100428275	5ss	12
100428565	5ss	422
100429045	3ss	145
100429159	5ss	225
100431128	3ss	225
100431256	5ss	179
100431875	3ss	179
