B2_pos	ss	B2_reads
100000586	3ss	86
100000691	5ss	91
100002451	3ss	91
100002655	5ss	60
100003848	3ss	38
100006181	3ss	85
100006312	5ss	110
100006682	3ss	110
100006864	5ss	151
100007007	3ss	151
100007168	5ss	142
100009422	3ss	60
100009430	3ss	142
100009545	5ss	62
100009561	5ss	129
100010730	3ss	129
100010861	5ss	104
100010972	3ss	104
100011048	5ss	95
100011182	3ss	95
100011346	5ss	131
100013223	3ss	131
100013361	5ss	113
100013931	3ss	62
100014055	5ss	74
100014146	3ss	74
100014192	5ss	115
100015016	3ss	115
100015119	5ss	53
100015211	3ss	113
100015372	5ss	232
100015770	3ss	232
100016767	3ss	53
100016889	5ss	62
100018083	3ss	62
100018175	5ss	66
100020041	3ss	113
100020160	5ss	71
100020911	3ss	66
100021081	5ss	55
100023690	3ss	55
100023732	5ss	60
100025281	3ss	60
100025387	5ss	77
100026163	5ss	11
100029247	3ss	77
100029312	5ss	139
100029386	5ss	146
100030542	3ss	139
100030677	3ss	64
100030721	5ss	66
100030760	5ss	274
100030886	3ss	274
100031012	5ss	275
100031125	3ss	275
100034943	3ss	148
100035031	5ss	56
100037482	3ss	71
100037913	3ss	56
100038048	5ss	107
100039621	3ss	107
100039815	5ss	176
100042431	3ss	176
1000432	3ss	33
100050651	3ss	11
100050794	5ss	23
100053642	5ss	94
100057931	3ss	94
100058049	5ss	112
100058659	3ss	112
100058779	5ss	134
1000598	5ss	52
100059917	3ss	134
100060005	5ss	175
100064429	3ss	175
100064522	5ss	162
100065025	3ss	162
100065099	5ss	238
100067647	3ss	238
100067725	5ss	223
100071248	3ss	223
100071346	5ss	212
100073616	3ss	212
100073671	5ss	228
100074021	3ss	228
100075463	5ss	58
100076516	3ss	58
100076594	5ss	83
100077240	3ss	83
100077409	5ss	111
100078281	3ss	111
100078417	5ss	107
100078875	3ss	107
100078994	5ss	71
100079109	3ss	71
100079246	5ss	72
100081623	3ss	72
100081746	5ss	81
100083029	3ss	81
100083091	5ss	62
10008405	3ss	75
10008558	5ss	84
100086504	3ss	62
100086645	5ss	121
100087723	3ss	121
100087898	5ss	117
100088169	3ss	117
100088461	5ss	153
100092328	3ss	153
100092438	5ss	47
100093228	3ss	47
100093353	5ss	68
100095703	3ss	68
100106309	5ss	26
100108540	3ss	23
100111918	5ss	24
100121283	5ss	45
100123507	5ss	26
100127875	3ss	24
100127928	3ss	26
100127955	5ss	35
100128102	5ss	18
100132364	5ss	14
100132923	3ss	14
100133198	3ss	35
100133322	5ss	47
100133405	3ss	18
100133673	5ss	15
100136930	5ss	12
100137190	5ss	436
100137736	3ss	12
100138635	3ss	15
100138716	5ss	65
100146445	3ss	436
100146538	5ss	449
100146860	3ss	15
100146955	5ss	14
100147243	3ss	14
100147365	5ss	16
100147824	3ss	16
100147961	5ss	31
100148019	3ss	449
100148134	5ss	699
100148541	3ss	45
100148729	5ss	51
100148893	3ss	31
100148980	5ss	18
100150970	3ss	699
100151123	5ss	1074
100151716	3ss	1074
100151881	5ss	582
100152232	3ss	47
100152346	5ss	10
100152486	3ss	10
100152519	5ss	11
100152632	3ss	11
100153233	3ss	582
100153358	5ss	532
100154031	5ss	354
100154217	3ss	72
100154249	5ss	73
100155202	3ss	18
100155393	5ss	19
10015981	5ss	32
100159882	3ss	533
10015994	3ss	84
100160002	5ss	398
100160069	3ss	19
100160217	3ss	398
100160238	5ss	15
100160305	5ss	353
100160486	3ss	338
100160507	3ss	15
100160569	5ss	599
100161457	3ss	599
10016147	5ss	103
100161585	5ss	584
100161841	3ss	584
100161926	5ss	774
100162555	3ss	774
100168777	3ss	15
100168971	5ss	14
100169868	3ss	354
100169935	5ss	539
100170563	3ss	51
100170793	5ss	86
100172290	3ss	539
100172383	5ss	434
100173183	3ss	76
100173378	5ss	72
100174621	3ss	86
100181721	3ss	434
100181848	5ss	428
100182267	3ss	14
100182391	5ss	13
100185766	3ss	72
100185969	5ss	101
100188862	3ss	428
100188991	5ss	487
10018906	3ss	32
100189993	3ss	487
100190117	5ss	670
100190954	5ss	23
100191700	3ss	670
100191811	5ss	547
10019295	5ss	39
100192968	3ss	547
100193047	5ss	799
100193215	3ss	23
100193356	5ss	20
100193813	3ss	799
100193921	5ss	658
100194307	3ss	20
100194520	5ss	38
100196117	3ss	658
100196249	5ss	518
100199239	3ss	518
100199358	5ss	239
100200174	5ss	37
100201053	3ss	37
100201161	5ss	25
100201419	3ss	239
100201476	5ss	293
100201527	3ss	38
100201582	3ss	25
100201600	5ss	31
100201840	5ss	33
100202714	3ss	33
100202838	5ss	20
100203299	3ss	20
100203435	5ss	40
100203940	3ss	31
100204039	3ss	40
100204157	5ss	16
100204253	5ss	49
100204421	3ss	293
100204580	5ss	429
100205075	3ss	49
100205104	3ss	13
100205146	5ss	34
100205260	3ss	34
100205285	5ss	19
100205430	5ss	24
100205560	3ss	24
100206558	3ss	429
100206709	5ss	385
100207790	3ss	385
100207901	5ss	446
100209864	5ss	12
100210353	3ss	12
100210619	5ss	19
100210817	3ss	19
100210892	5ss	42
100211100	3ss	42
100211329	5ss	63
100211528	3ss	81
100211617	3ss	446
100211659	5ss	84
100211725	3ss	20
100211772	5ss	27
100211788	5ss	355
100211862	5ss	31
100212490	3ss	63
100212654	5ss	53
100212775	3ss	53
100214598	3ss	115
100214817	5ss	111
100214945	3ss	355
100215604	3ss	111
100215663	5ss	62
100222460	3ss	16
100223046	5ss	45
100227124	3ss	45
100227310	5ss	10
10022835	3ss	103
10022934	5ss	77
100230446	3ss	62
100230633	5ss	174
100232840	3ss	10
100232951	5ss	27
100234575	3ss	27
100234777	5ss	34
100235774	3ss	34
100235908	5ss	31
100237665	3ss	31
10023770	3ss	39
100237751	5ss	49
100238306	3ss	17
100238452	5ss	13
10023969	5ss	67
100240721	3ss	49
100240855	5ss	38
100243110	3ss	38
100243220	5ss	28
100245131	3ss	28
100245633	5ss	30
100246934	3ss	174
100247060	5ss	144
100249454	3ss	30
100249614	5ss	66
10025042	3ss	67
100250839	3ss	144
100250965	5ss	115
100252595	3ss	115
100257945	3ss	66
100259880	5ss	15
10026345	5ss	14
100271546	5ss	88
100273800	3ss	88
100273945	5ss	254
100274053	3ss	23
100274158	3ss	254
100274196	5ss	242
100274245	5ss	44
100274316	3ss	242
100274422	5ss	307
100274975	3ss	307
100275038	5ss	284
100275121	3ss	284
100275283	5ss	351
100275375	3ss	351
100275441	5ss	409
100275604	3ss	44
100275721	3ss	409
100275816	5ss	20
100275922	5ss	620
100276021	3ss	620
100276237	5ss	508
100276318	3ss	508
100277249	3ss	20
100277433	5ss	35
100286426	3ss	19
100286560	5ss	29
100287309	3ss	29
100287482	5ss	24
100287666	3ss	35
100287811	5ss	23
100295769	3ss	23
10030038	3ss	14
100303927	5ss	720
100304444	3ss	720
10030860	5ss	16
100315971	5ss	30
100316531	3ss	30
100316680	5ss	59
100317190	3ss	15
100317372	5ss	35
100319326	5ss	10
100319585	3ss	10
100320466	5ss	20
100320601	3ss	20
10032246	5ss	69
10032311	3ss	16
10032537	5ss	21
100327059	3ss	59
100327269	5ss	45
100327813	3ss	45
100327979	5ss	62
100329942	3ss	62
100330145	5ss	63
100331851	3ss	35
100331983	5ss	14
100335956	3ss	63
100336137	5ss	67
100336314	3ss	67
100336425	5ss	110
10033760	3ss	21
10033923	5ss	44
100340243	3ss	110
100340366	5ss	123
100340710	3ss	123
100340812	5ss	69
100340914	3ss	69
100341011	5ss	57
100342014	3ss	57
100342153	5ss	123
100343197	3ss	123
100343384	5ss	70
100344822	3ss	14
100344956	5ss	33
100345479	3ss	70
100345602	5ss	81
100346188	3ss	81
100346351	5ss	47
100346632	3ss	47
100346733	5ss	54
100346848	3ss	54
100347003	5ss	53
100347097	3ss	53
100347247	5ss	79
100349676	3ss	79
100349800	5ss	103
100349895	3ss	103
100350007	5ss	51
100350125	3ss	51
100350259	5ss	59
10035110	3ss	44
10035247	5ss	25
100353237	5ss	14
100353433	3ss	14
100353528	5ss	78
100353534	3ss	59
100353664	5ss	41
100354798	3ss	20
100356047	3ss	58
100356285	5ss	54
10035650	3ss	69
