pUC57_pos	ss	pUC57_reads
100000586	3ss	79
100000691	5ss	91
100002451	3ss	91
100002655	5ss	67
100003848	3ss	35
100006181	3ss	69
100006312	5ss	66
100006682	3ss	66
100006864	5ss	94
100007007	3ss	94
100007168	5ss	109
100009422	3ss	67
100009430	3ss	109
100009545	5ss	67
100009561	5ss	79
100010730	3ss	79
100010861	5ss	85
100010972	3ss	85
100011048	5ss	95
100011182	3ss	95
100011346	5ss	93
100013223	3ss	93
100013361	5ss	90
100013931	3ss	67
100014055	5ss	87
100014146	3ss	87
100014192	5ss	128
100015016	3ss	128
100015119	5ss	52
100015211	3ss	90
100015372	5ss	130
100015770	3ss	130
100016767	3ss	52
100016889	5ss	78
100018083	3ss	78
100018175	5ss	81
100020041	3ss	107
100020160	5ss	72
100020911	3ss	81
100021081	5ss	52
100023690	3ss	52
100023732	5ss	62
100025281	3ss	62
100025387	5ss	56
100029247	3ss	56
100029312	5ss	147
100029386	5ss	141
100030542	3ss	147
100030677	3ss	45
100030721	5ss	64
100030760	5ss	296
100030886	3ss	296
100031012	5ss	298
100031125	3ss	298
100034943	3ss	160
100035031	5ss	57
10003573	5ss	21
100037482	3ss	72
100037913	3ss	57
100038048	5ss	112
100039621	3ss	112
100039815	5ss	149
100042431	3ss	149
1000432	3ss	28
100050794	5ss	18
100053642	5ss	108
100057931	3ss	108
100058049	5ss	118
100058659	3ss	118
100058779	5ss	199
1000598	5ss	35
100059917	3ss	199
100060005	5ss	251
100064429	3ss	251
100064522	5ss	213
100065025	3ss	213
100065099	5ss	268
100067647	3ss	268
100067725	5ss	274
100071248	3ss	274
100071346	5ss	274
100073616	3ss	274
100073671	5ss	281
100074021	3ss	281
100075463	5ss	81
100076516	3ss	81
100076594	5ss	126
100077240	3ss	126
100077409	5ss	128
100078281	3ss	128
100078417	5ss	139
100078875	3ss	139
100078994	5ss	128
100079109	3ss	128
100079246	5ss	77
100081623	3ss	77
100081746	5ss	77
100083029	3ss	77
100083091	5ss	53
10008405	3ss	79
10008558	5ss	94
100086504	3ss	53
100086645	5ss	123
100087723	3ss	123
100087898	5ss	126
100088169	3ss	126
100088461	5ss	163
100092328	3ss	163
100092438	5ss	61
100092475	5ss	10
100092604	3ss	10
100093228	3ss	61
100093353	5ss	91
100095703	3ss	91
100106309	5ss	32
100108540	3ss	18
100111918	5ss	37
100121283	5ss	55
100123507	5ss	24
100127875	3ss	37
100127928	3ss	24
100127955	5ss	57
100128102	5ss	12
100133198	3ss	57
100133322	5ss	45
100133405	3ss	12
100133673	5ss	11
100136930	5ss	11
100137190	5ss	567
100137736	3ss	11
100138635	3ss	16
100138716	5ss	33
100146445	3ss	567
100146538	5ss	643
100146860	3ss	11
100146955	5ss	15
100147243	3ss	15
100147365	5ss	14
100147824	3ss	14
100147961	5ss	14
100148019	3ss	643
100148134	5ss	962
100148541	3ss	55
100148729	5ss	52
100148893	3ss	14
100150970	3ss	940
100151123	5ss	1294
100151716	3ss	1305
100151881	5ss	757
100152232	3ss	45
100152346	5ss	23
100152486	3ss	23
100152519	5ss	28
100152632	3ss	28
100152745	5ss	23
100153233	3ss	768
100153358	5ss	652
100154031	5ss	369
100154217	3ss	81
100154249	5ss	84
100154331	3ss	23
10015981	5ss	40
100159882	3ss	655
10015994	3ss	94
100160002	5ss	445
100160217	3ss	445
100160238	5ss	10
100160305	5ss	462
100160486	3ss	443
100160507	3ss	19
100160569	5ss	709
100161457	3ss	709
10016147	5ss	108
100161585	5ss	687
100161841	3ss	687
100161926	5ss	952
100162555	3ss	952
100168777	3ss	10
100168971	5ss	11
100169868	3ss	369
100169935	5ss	586
100170563	3ss	52
100170793	5ss	89
100172290	3ss	586
100172383	5ss	519
100173183	3ss	49
100173378	5ss	101
100174520	5ss	10
100174621	3ss	89
100181721	3ss	519
100181848	5ss	434
100182267	3ss	11
100182391	5ss	16
100185766	3ss	101
100185969	5ss	113
100188862	3ss	434
100188991	5ss	608
10018906	3ss	40
100189993	3ss	608
100190117	5ss	756
100190742	3ss	10
100190954	5ss	44
100191700	3ss	756
100191811	5ss	611
10019295	5ss	43
100192968	3ss	611
100193047	5ss	888
100193215	3ss	44
100193356	5ss	46
100193813	3ss	888
100193921	5ss	802
100194307	3ss	46
100194520	5ss	33
100196117	3ss	802
100196249	5ss	581
100199239	3ss	581
100199358	5ss	315
100200174	5ss	29
100201053	3ss	29
100201161	5ss	10
100201419	3ss	315
100201476	5ss	379
100201527	3ss	33
