C2_pos	ss	C2_reads
100000586	3ss	64
100000691	5ss	90
100002451	3ss	90
100002655	5ss	65
100003848	3ss	42
100006181	3ss	54
100006312	5ss	63
100006682	3ss	63
100006864	5ss	88
100007007	3ss	88
100007168	5ss	75
100009422	3ss	65
100009430	3ss	75
100009545	5ss	73
100009561	5ss	69
100010730	3ss	69
100010861	5ss	51
100010972	3ss	51
100011048	5ss	60
100011182	3ss	60
100011346	5ss	98
100013223	3ss	98
100013361	5ss	62
100013931	3ss	73
100014055	5ss	82
100014146	3ss	82
100014192	5ss	131
100015016	3ss	131
100015119	5ss	63
100015211	3ss	62
100015372	5ss	120
100015770	3ss	120
100016767	3ss	63
100016889	5ss	69
100018083	3ss	69
100018175	5ss	97
100020041	3ss	104
100020160	5ss	81
100020911	3ss	97
100021081	5ss	67
100023690	3ss	67
100023732	5ss	69
100025281	3ss	69
100025387	5ss	72
100029247	3ss	72
100029312	5ss	140
100029386	5ss	166
100030542	3ss	140
100030677	3ss	62
100030721	5ss	72
100030760	5ss	314
100030886	3ss	314
100031012	5ss	345
100031125	3ss	345
100034943	3ss	176
100035031	5ss	58
10003573	5ss	25
100037482	3ss	81
100037913	3ss	58
100038048	5ss	116
100039621	3ss	116
100039815	5ss	189
100042431	3ss	189
1000432	3ss	31
100050794	5ss	15
100053642	5ss	109
100057931	3ss	109
100058049	5ss	130
100058659	3ss	130
100058779	5ss	195
1000598	5ss	36
100059917	3ss	195
100060005	5ss	231
100064429	3ss	231
100064522	5ss	251
100065025	3ss	251
100065099	5ss	280
100067647	3ss	280
100067725	5ss	259
100071248	3ss	259
100071346	5ss	233
100073616	3ss	233
100073671	5ss	276
100074021	3ss	276
100075463	5ss	77
100076516	3ss	77
100076594	5ss	121
100077240	3ss	121
100077409	5ss	116
100078281	3ss	116
100078417	5ss	125
100078875	3ss	125
100078994	5ss	64
100079109	3ss	64
100079246	5ss	60
100081623	3ss	60
100081746	5ss	85
100083029	3ss	85
100083091	5ss	51
10008405	3ss	61
10008558	5ss	77
100086504	3ss	51
100086645	5ss	118
100087723	3ss	118
100087898	5ss	99
100088169	3ss	99
100088461	5ss	159
100092328	3ss	159
100092438	5ss	73
100093228	3ss	73
100093353	5ss	67
100095703	3ss	67
100106309	5ss	26
100108540	3ss	15
100111918	5ss	39
100121283	5ss	57
100123507	5ss	31
100127875	3ss	39
100127928	3ss	31
100127955	5ss	52
100128102	5ss	11
100132364	5ss	13
