A2_pos	ss	A2_reads
100000586	3ss	81
100000691	5ss	88
100002451	3ss	88
100002655	5ss	40
100003848	3ss	26
100006181	3ss	50
100006312	5ss	64
100006682	3ss	64
100006864	5ss	108
100007007	3ss	108
100007168	5ss	86
100009422	3ss	40
100009430	3ss	86
100009545	5ss	74
100009561	5ss	64
100010730	3ss	64
100010861	5ss	60
100010972	3ss	60
100011048	5ss	47
100011182	3ss	47
100011346	5ss	71
100013223	3ss	71
100013361	5ss	55
100013931	3ss	74
100014055	5ss	71
100014146	3ss	71
100014192	5ss	105
100015016	3ss	105
100015119	5ss	27
100015211	3ss	55
100015372	5ss	151
100015770	3ss	151
100016767	3ss	27
100016889	5ss	69
100018083	3ss	69
100018175	5ss	65
100020041	3ss	93
100020160	5ss	59
100020911	3ss	65
100021081	5ss	49
100023690	3ss	49
100023732	5ss	53
100025281	3ss	53
100025387	5ss	70
100026163	5ss	11
100029247	3ss	70
100029312	5ss	129
100029386	5ss	144
100030542	3ss	129
100030677	3ss	53
100030721	5ss	45
100030760	5ss	291
100030886	3ss	291
100031012	5ss	289
100031125	3ss	289
100034943	3ss	136
100035031	5ss	53
10003573	5ss	16
100037482	3ss	59
100037913	3ss	53
100038048	5ss	93
100039621	3ss	93
100039815	5ss	150
100042431	3ss	150
1000432	3ss	38
100050651	3ss	11
100050794	5ss	19
100053642	5ss	68
100057931	3ss	68
100058049	5ss	108
100058659	3ss	108
100058779	5ss	114
1000598	5ss	46
100059917	3ss	114
100060005	5ss	190
100064429	3ss	190
100064522	5ss	149
100065025	3ss	149
100065099	5ss	182
100067647	3ss	182
100067725	5ss	206
100071248	3ss	206
100071346	5ss	186
100073616	3ss	186
100073671	5ss	192
100074021	3ss	192
100075463	5ss	74
100076516	3ss	74
100076594	5ss	100
100077240	3ss	100
100077409	5ss	124
100078281	3ss	124
100078417	5ss	118
100078875	3ss	118
100078994	5ss	63
100079109	3ss	63
100079246	5ss	61
100081623	3ss	61
100081746	5ss	66
100083029	3ss	66
100083091	5ss	58
10008405	3ss	69
10008558	5ss	90
100086504	3ss	58
100086645	5ss	110
100087723	3ss	110
100087898	5ss	119
100088169	3ss	119
100088461	5ss	154
100092328	3ss	154
100092438	5ss	51
100092475	5ss	11
100092604	3ss	11
100093228	3ss	51
100093353	5ss	57
100095703	3ss	57
100106309	5ss	24
100108540	3ss	19
100111918	5ss	30
100121283	5ss	33
100123507	5ss	15
100127875	3ss	30
100127928	3ss	15
100127955	5ss	59
100132364	5ss	10
100132923	3ss	10
100133198	3ss	59
100133322	5ss	61
100133673	5ss	18
100133988	5ss	12
100136825	3ss	12
100136930	5ss	19
100137190	5ss	489
100137736	3ss	19
100138635	3ss	13
100138716	5ss	35
100146445	3ss	489
100146538	5ss	515
100146860	3ss	18
100146955	5ss	11
100147243	3ss	11
100147365	5ss	10
100147824	3ss	10
100147961	5ss	20
100148019	3ss	515
100148134	5ss	862
100148541	3ss	33
100148729	5ss	35
100148893	3ss	20
100150970	3ss	852
100151123	5ss	1324
100151716	3ss	1324
100151881	5ss	640
100152232	3ss	61
100152745	5ss	10
100153233	3ss	650
100153358	5ss	553
100154031	5ss	312
100154217	3ss	72
100154249	5ss	80
100154331	3ss	10
10015981	5ss	31
100159882	3ss	561
10015994	3ss	90
100160002	5ss	431
100160217	3ss	431
100160305	5ss	411
100160486	3ss	411
100160569	5ss	733
100161457	3ss	733
10016147	5ss	91
100161585	5ss	688
100161841	3ss	688
100161926	5ss	837
100162555	3ss	837
100168971	5ss	14
100169868	3ss	312
100169935	5ss	492
100170563	3ss	35
100170793	5ss	62
100172290	3ss	492
100172383	5ss	374
100173183	3ss	46
100173378	5ss	63
100174621	3ss	62
100181721	3ss	374
100181848	5ss	344
100182267	3ss	14
100182391	5ss	11
100185766	3ss	63
100185969	5ss	100
100188862	3ss	344
100188991	5ss	462
10018906	3ss	31
100189993	3ss	462
100190117	5ss	668
100190954	5ss	53
100191700	3ss	668
100191811	5ss	531
10019295	5ss	32
100192968	3ss	531
100193047	5ss	711
100193215	3ss	53
100193356	5ss	32
100193813	3ss	711
100193921	5ss	585
100194307	3ss	32
100194520	5ss	32
100196117	3ss	585
100196249	5ss	471
100199239	3ss	471
100199358	5ss	221
100200174	5ss	44
100201053	3ss	44
100201161	5ss	13
100201419	3ss	221
100201476	5ss	247
100201527	3ss	32
100201582	3ss	13
100201600	5ss	28
100201840	5ss	33
100202714	3ss	33
100202838	5ss	21
100203299	3ss	21
100203435	5ss	62
100203940	3ss	28
100204039	3ss	62
100204157	5ss	12
100204253	5ss	28
100204421	3ss	247
100204580	5ss	340
100205075	3ss	28
100205104	3ss	11
100205146	5ss	20
100205260	3ss	20
100205285	5ss	16
100205430	5ss	38
100205560	3ss	38
100206558	3ss	340
100206709	5ss	342
100207790	3ss	342
100207901	5ss	394
100210892	5ss	29
100211100	3ss	29
100211329	5ss	64
100211528	3ss	67
100211617	3ss	394
100211659	5ss	69
100211725	3ss	33
100211772	5ss	15
100211788	5ss	259
100211862	5ss	30
100212490	3ss	64
100212654	5ss	60
100212775	3ss	60
100214598	3ss	99
100214817	5ss	103
100214945	3ss	259
