ss	D3_pos	C2_pos	B2_pos	A2_pos	A2_score	A2_reads	B2_score	B2_reads	C2_score	C2_reads	D3_score	D3_reads	missing
3ss	458	458	458	458	-9.96	NA	-7.91	NA	-9.74	103	-9.46	NA	3
3ss	486	486	486	486	0.56	NA	6.42	NA	9.23	12	0.74	NA	3
3ss	537	537	537	537	-2.96	NA	-2.96	59	-2.96	58	-3.91	NA	2
3ss	749	749	749	755	-3.56	NA	8.89	NA	9.15	45	-1.41	NA	3
3ss	1089	1122	1122	1128	4.33	242	3.92	24	5.4	190	5.58	93	0
3ss	1356	1389	1389	1395	-3.46	17	2.79	38	-3.46	NA	2.94	NA	2
3ss	1645	1678	1678	1684	-14.19	NA	-14.19	NA	-14.19	NA	-14.19	NA	4
3ss	1651	1684	1684	1690	9.2	1024	9.2	1358	9.2	587	9.2	298	0
3ss	1852	1885	1885	1891	-0.11	NA	-0.11	NA	0.58	NA	-0.11	NA	4
3ss	1858	1891	1891	1897	8.79	2833	8.79	2405	10.45	1121	8.79	2482	0
3ss	2501	2534	2534	2540	-2.91	NA	4.64	10	-3.77	NA	-3.78	NA	3
3ss	2538	2571	2571	2577	-7.41	NA	0.95	47	1.42	NA	1.68	NA	3
3ss	2674	2707	2707	2713	8.11	107	8.11	97	5.77	19	7.01	NA	1
3ss	2677	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.58	17	9
3ss	2729	2762	2762	2768	-6.65	NA	4.39	64	4.44	NA	-5.38	NA	3
3ss	2754	2787	2787	2793	3.91	NA	4.05	484	5.47	57	3.91	14	1
5ss	274	274	274	274	-6.89	NA	7.93	163	7.93	233	-8.81	NA	2
5ss	634	634	634	640	-1.83	3479	-1.83	3094	-1.83	1560	-1.83	2008	0
5ss	658	658	658	664	6.03	116	6.03	190	6.03	33	5.87	119	0
5ss	1172	1205	1205	1211	9.79	521	6.03	448	9.79	290	9.45	746	0
5ss	1827	1860	1860	1866	9.79	107	9.79	691	9.79	76	9.79	31	0
